Site_Name,Paper_ID,Latitude,Longitude
Sweetwater,1,32.89928,-116.5849
West Fork Mojave River,2,34.28425,-117.37539
NFMF Tule,3,36.20081,-118.65092
Redwoods,4,36.69096,-118.90961
Wawona,5,37.539,-119.654
Oregon Creek,6,39.39442,-121.08302
Little Jameson Creek,7,39.74298,-120.70401
Deep Creek,8,41.66546,-123.11341
O'Neil Creek,9,41.80979,-123.11887
Deer Creek,10,42.27411,-123.63617
Rock Creek,11,43.37876,-122.95207
Mill Creek,12,34.07808,-116.87558
Cottonwood Creek,13,32.60831,-116.70098
Hauser Creek,14,32.65822,-116.53235
Kitchen Creek,15,32.75206,-116.45221
Chariot Canyon,16,33.03596,-116.53623
Whitewater Canyon,17,33.99329,-116.66267
Arroyo Sequit,18,34.06511,-118.93279
Trib to W Fork Mojave River,19,34.28497,-117.37862
Manzana Creek,20,34.77171,-119.94363
Paradise Creek,21,36.51776,-118.75877
North Fork Seep,22,36.52105,-118.89359
Baker Creek,23,37.15761,-118.3334
Unknown Creek ,24,37.3592,-119.34498
Crane Creek,25,37.70377,-119.75363
Tenaya Creek - Yosemite,26,37.743,-119.562
Buck Meadows,27,37.7769,-120.063
Carlon,28,37.81006667,-119.8568
Rainbow Pool,29,37.8188,-120.0074333
Deer Flat Creek,30,37.89761,-121.94553
Fivemile Creek ,31,38.06638,-120.35368
Nicasio Creek,32,38.0695,-122.76317
NF Stanislaus,33,38.3872,-120.21049
Camp Creek 2,34,38.67988,-120.41679
Wrights Road,35,38.7854,-120.21366
Creek to Rubicon,36,38.92881,-120.49947
Duncan Creek,37,39.12205,-120.49242
Fiddle Creek,38,39.5204,-120.99815
Cherokee Creek,39,39.55384,-120.98785
Little North Fork Middle Fork Feather,40,39.71209,-121.27485
South Fork,41,39.74001,-123.63228
North Feather (Chip's Creek),42,39.99982,-121.26988
Bear Creek,43,40.43141,-123.98378
Trinity,44,40.65827,-122.91334
Slate Creek,45,41.25024,-123.64343
Salmon River 2 ,46,41.2969,-123.36034
Smith River,47,41.87876,-123.82774
Carberry Creek,48,42.05383333,-123.1629
North Fork Silver Creek,49,42.53529,-123.73016
Shasta Costa Creek,50,42.57281,-124.04742
Cow Creek,51,42.92653,-123.48479
Honey Creek,52,43.30581667,-122.95505
North Fork Umpqua,53,43.3282,-123.0154
Susan Creek,54,43.4137,-122.78043
Coast Fork Willamette,55,43.66,-123.0799667
