Year,﻿ID,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
13GCMs_ensemble_ssp245_2041-2070.gcm,S02,Sweetwater River,32.89928,-116.5849,1168,16.1,20.8,32.6,26.3,2.7,5.3,14.3,9.8,9.4,13.1,23.4,18.1,299,177,25,118,14.1,23.6,26.4,18.5,17,4,0,1,422,746,1693,1184,771,496,22,214,2,27,521,208,66,81,92,88,2,0,0,0,168,369,591,328,0,218,566,210,58,53,50,52,9.55,-12.06,-57.53,-30.64
13GCMs_ensemble_ssp245_2041-2070.gcm,S07,West Fork Mojave River,34.28425,-117.37539,1092,16.1,21.9,33.2,25.7,3.4,6.3,16,11.6,9.7,14.1,24.6,18.6,310,141,21,107,10.7,22.4,26.4,15.7,16,3,0,1,445,836,1798,1235,742,419,13,193,2,49,613,235,71,84,92,90,1,0,0,0,157,377,583,297,0,237,562,188,60,53,53,59,10.96,-17.56,-57.69,-27.36
13GCMs_ensemble_ssp245_2041-2070.gcm,S08,Redwood Creek,36.69096,-118.90961,1682,11,15.6,28.6,21.1,-2.4,1.3,12.2,6,4.3,8.5,20.4,13.6,498,236,20,186,11.6,24.5,29.2,18.9,67,20,0,5,121,394,1414,798,1232,888,63,477,0,3,280,65,25,54,92,77,25,10,0,2,118,289,504,251,0,119,483,124,55,55,53,54,39.75,4,-47.1,-12.99
13GCMs_ensemble_ssp245_2041-2070.gcm,S10,North Fork Middle Fork Tule,36.20081,-118.65092,1288,12.5,18.7,32,23.7,0.6,4.1,14.6,8.8,6.6,11.4,23.3,16.3,456,229,20,161,10.2,23.7,28,16.8,37,9,0,2,231,614,1686,1030,1027,636,20,312,0,19,511,150,49,73,92,86,9,2,0,1,126,328,561,275,0,154,540,161,61,55,52,56,32.88,-2.61,-55.84,-20.29
13GCMs_ensemble_ssp245_2041-2070.gcm,S11,Mill Creek,34.07808,-116.87558,1990,10.2,15.6,26.8,20,-4.4,-1,10,4.1,2.9,7.3,18.4,12.1,404,204,37,174,16,25.6,28.8,21.4,96,30,0,7,82,317,1234,674,1353,992,126,583,0,0,166,36,15,37,91,68,36,18,0,3,128,307,492,260,0,157,455,121,51,48,52,52,31.66,-0.12,-42.55,-13.01
13GCMs_ensemble_ssp245_2041-2070.gcm,S15,Rock Creek,43.37876,-122.95207,1168,10.1,15,27.2,19.1,2.3,4.4,12.1,7.9,6.2,9.7,19.7,13.5,1113,583,104,706,5.2,15.8,23.9,10,41,11,0,5,195,458,1349,787,1060,776,79,484,0,3,235,65,62,77,92,85,25,7,0,9,74,238,447,183,0,8,344,28,74,66,56,66,102.33,41.04,-31.76,46.04
13GCMs_ensemble_ssp245_2041-2070.gcm,S16,O'Neil Creek,41.80979,-123.11887,1092,10.4,17.7,31.2,21.4,1.2,3.7,13.7,8.5,5.8,10.7,22.5,14.9,483,200,31,244,6.9,18.3,24.9,12.3,46,9,0,4,182,547,1607,916,1098,688,32,406,0,11,446,121,53,73,92,85,13,2,0,3,85,290,525,215,0,149,494,99,69,57,51,61,38.97,-3.06,-51.51,-5.45
13GCMs_ensemble_ssp245_2041-2070.gcm,S17,Deep Creek,41.66546,-123.11341,680,11,20.2,34.4,23.7,0.7,3.8,14.2,8.5,5.8,12,24.3,16.1,130,50,25,82,7.9,18.8,25.2,13.6,46,7,0,3,189,653,1771,1017,1095,590,16,352,0,25,587,170,49,73,92,84,4,0,0,1,91,329,590,244,12,279,564,180,66,51,46,55,3.25,-22.65,-62.47,-27.09
13GCMs_ensemble_ssp245_2041-2070.gcm,S18,Little Jameson Creek,39.74298,-120.70401,1593,9.1,16,29.3,20.6,-2.4,0.5,10.8,5.2,3.3,8.3,20.1,12.9,688,322,45,308,8.6,20.4,27.2,15.4,87,22,0,7,86,376,1386,747,1319,907,72,532,0,2,263,59,25,48,91,74,51,15,0,7,93,288,518,232,0,96,473,87,60,51,48,54,61.31,11.46,-48.76,-0.25
13GCMs_ensemble_ssp245_2041-2070.gcm,S29,Oregon Creek,39.39442,-121.08302,440,16.1,23,36.3,27.9,3.5,7,16.1,10.7,9.8,15,26.2,19.3,716,337,20,320,6.8,19.8,27,13.9,16,3,0,1,441,908,1952,1293,740,360,6,186,3,71,765,291,71,86,92,89,4,0,0,1,129,367,631,296,0,155,611,141,60,53,46,51,53.15,2.06,-68.21,-12.37
13GCMs_ensemble_ssp245_2041-2070.gcm,S32,Wawona,37.539,-119.654,1214,14.2,19.4,32.1,24.7,0.5,3.5,13.9,7.7,7.4,11.5,23,16.2,556,264,16,178,10.6,23.2,28.5,18.3,29,8,0,2,276,613,1652,1019,953,628,23,311,0,17,481,141,48,70,92,83,7,2,0,1,132,335,563,282,0,152,547,170,56,52,50,50,39.88,-0.76,-57.03,-21.94
13GCMs_ensemble_ssp245_2041-2070.gcm,S36,Deer Creek,42.27411,-123.63617,393,11.6,20.4,33.3,23.2,1.7,4.2,11.5,6.8,6.7,12.3,22.4,15,792,336,30,414,6.3,17.2,23.2,11.7,37,5,0,3,226,673,1604,918,1022,556,26,393,0,22,435,113,57,76,92,83,16,1,0,4,90,326,583,241,0,121,553,103,67,51,42,53,68.71,6.38,-58.35,7.11
13GCMs_ensemble_ssp585_2041-2070.gcm,S02,Sweetwater River,32.89928,-116.5849,1168,16.7,21.4,33.1,27,3.2,5.8,14.9,10.6,9.9,13.6,24,18.8,295,171,27,119,14.1,23.6,26.2,18.4,15,4,0,1,461,793,1749,1249,724,452,17,183,4,37,570,241,69,83,92,89,1,0,0,0,172,377,598,333,0,229,572,215,58,53,50,53,7.86,-13.77,-59.13,-32.08
13GCMs_ensemble_ssp585_2041-2070.gcm,S07,West Fork Mojave River,34.28425,-117.37539,1092,16.6,22.5,33.8,26.4,3.9,6.9,16.7,12.4,10.3,14.7,25.2,19.4,305,136,24,108,10.8,22.5,26.1,15.7,13,3,0,1,483,887,1860,1305,696,378,11,163,5,62,675,278,74,86,92,90,1,0,0,0,161,385,590,302,0,249,566,194,60,53,53,59,9.46,-19.3,-59.22,-28.87
