Site_Name,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Sweetwater,1,32.89928,-116.5849,1168,13.5,22.5,6.7,15.8,629,60,37.4,372,41,3228,2067,427,291,116,313,197,6,-17,42.6,20.5,1356,918,53,-66.49,1720
Mill Creek,12,34.07808,-116.87558,1990,7.6,17.3,0.2,17.1,824,99,21.3,174.1,242,1648,3852,65,169,174,270,95,147,-30.4,35.9,22.8,1082,653,50,-1.73,717
West Fork Mojave River,2,34.28425,-117.37539,1092,14.2,23.4,7,16.5,581,68,41.6,342.7,37,3442,1915,517,308,99,325,226,5,-15.4,41.4,18.7,1310,895,56,-67.73,1887
NFMF Tule,3,36.20081,-118.65092,1288,11.7,21.9,3.8,18,863,75,25.1,292.3,91,2733,2642,340,260,129,300,171,32,-20.9,40.5,19.6,1179,759,56,-21.27,1463
Redwoods,4,36.69096,-118.90961,1682,9,18.8,1.7,17.2,933,82,20.3,228.7,177,1983,3410,130,206,148,281,132,105,-27.1,37.9,21,1053,639,54,5.15,955
Wawona,5,37.539,-119.654,1214,11.8,21.4,4.4,17,1003,63,21.7,341.7,77,2712,2578,310,249,135,293,158,29,-22.3,40.9,20,1198,769,52,-13.82,1418
Oregon Creek,6,39.39442,-121.08302,440,14.9,24.8,6.6,18.2,1368,84,18.2,296.9,37,3692,1804,671,308,95,320,225,12,-16.3,44.3,16.7,1311,797,52,-0.56,2131
Little Jameson Creek,7,39.74298,-120.70401,1593,8.4,18.5,0.2,18.2,1338,131,13.7,140.7,224,1869,3612,111,193,161,275,114,199,-27.7,38.3,17.7,1022,569,53,44.38,891
Deep Creek,8,41.66546,-123.11341,680,12.1,23.1,2.7,20.3,289,60,76.4,384.8,101,2885,2607,445,259,136,303,167,11,-21.2,42.5,16.1,1156,935,54,-85.19,1619
O'Neil Creek,9,41.80979,-123.11887,1092,11,21.2,2.9,18.3,942,93,22.3,227.5,107,2517,2831,286,263,135,304,169,43,-20,40.1,15.2,1023,654,59,-1.35,1326
Deer Creek,10,42.27411,-123.63617,393,11.8,21,3.7,17.3,1542,126,14.1,166.8,81,2702,2556,291,269,129,291,161,47,-19.2,42.5,14.2,1148,684,53,42.35,1406
Rock Creek,11,43.37876,-122.95207,1168,9.8,17.8,3.3,14.5,2474,325,8,54.8,104,2057,3081,104,278,123,302,180,104,-18.4,37.3,13.4,855,282,65,172.54,937
Cottonwood Creek,13,32.60831,-116.70098,264,16.5,24.4,10.3,14.2,371,28,71.3,882.9,15,4176,1297,717,326,72,333,260,1,-12.8,45,19.8,1524,1152,50,-112.68,2437
Hauser Creek,14,32.65822,-116.53235,793,14.6,23,8.5,14.5,375,41,65.6,562.5,26,3560,1739,496,292,117,313,195,2,-15.5,44.5,17.5,1523,1162,46,-116.68,1931
Kitchen Creek,15,32.75206,-116.45221,1172,13,21.6,6.7,14.9,545,59,42.2,364.5,44,3032,2182,340,271,135,302,167,6,-18,42.4,20.4,1399,963,49,-80.36,1555
Chariot Canyon,16,33.03596,-116.53623,1071,14.3,23.4,7.2,16.2,577,73,42.1,317.9,36,3482,1886,534,305,104,321,217,4,-15.6,42.7,18.3,1392,953,53,-77.65,1917
Whitewater Canyon,17,33.99329,-116.66267,697,17.5,27.1,9.7,17.5,278,43,99.1,630.9,17,4575,1227,1036,337,59,341,282,1,-11.2,44.9,18.6,1548,1270,52,-139.04,2833
Arroyo Sequit,18,34.06511,-118.93279,70,17.5,22.6,13.7,9,389,18,70.7,1230.5,6,4481,863,621,365,0,365,365,0,1.5,41.9,16,1213,889,66,-68.27,2711
Trib to W Fork Mojave River,19,34.28497,-117.37862,1123,14,23.3,6.8,16.4,601,69,40,339,38,3392,1953,497,306,101,324,224,5,-15.6,41.2,18.7,1297,885,56,-63.76,1851
Manzana Creek,20,34.77171,-119.94363,543,16.1,25,9.7,15.3,617,25,42.3,1021.3,19,4066,1436,733,349,39,352,314,2,-6.5,44.1,17.6,1308,946,61,-63.82,2368
Paradise Creek,21,36.51776,-118.75877,920,13.4,23.8,5.3,18.5,778,70,30.1,339.1,60,3250,2212,543,283,115,310,195,14,-18.8,42.4,20.1,1260,833,55,-43.46,1833
North Fork Seep,22,36.52105,-118.89359,482,16.8,27.4,8,19.4,604,54,44.4,510.6,25,4352,1468,1022,334,64,335,271,3,-12.1,44.7,17.3,1392,983,56,-84.44,2682
Baker Creek,23,37.15761,-118.3334,1435,13.2,24.6,3,21.6,188,43,123.2,567.6,90,3271,2356,598,247,119,294,175,6,-25.7,42.6,19.5,1344,1156,48,-123.39,1901
Unknown Creek ,24,37.3592,-119.34498,1154,13,23,5.5,17.5,925,60,24.9,384.1,58,3082,2276,443,274,120,305,184,17,-19.7,41.4,17.8,1230,811,54,-28.66,1681
Crane Creek,25,37.70377,-119.75363,1311,11.6,21.2,4.3,16.8,926,59,23.4,360.3,77,2656,2607,284,250,134,292,158,26,-22,40.6,19.1,1172,752,52,-18.72,1369
Tenaya Creek - Yosemite,26,37.743,-119.562,1220,10.3,20.5,2,18.6,913,79,22.3,260.4,134,2360,3018,230,211,150,279,129,59,-26.2,40.9,13,1182,755,49,-16.68,1215
Buck Meadows,27,37.7769,-120.063,842,13.2,22.8,5.5,17.3,913,54,25.4,422.9,53,3135,2199,441,276,119,302,183,14,-19.7,43.1,17.4,1266,841,52,-33.97,1703
Carlon,28,37.81006667,-119.8568,1324,10.7,20.3,3.2,17.1,1000,75,20.7,269.2,104,2401,2878,219,230,143,286,142,46,-24.1,40.3,17.8,1148,698,51,-5.48,1211
Rainbow Pool,29,37.8188,-120.0074333,851,12.8,22.4,5.1,17.2,919,59,24.8,379.8,59,3012,2304,397,271,122,300,177,17,-20.3,42.9,16,1238,812,52,-27.95,1619
Deer Flat Creek,30,37.89761,-121.94553,588,14.2,21.3,7.5,13.8,569,24,42.5,881.2,30,3390,1790,392,346,40,349,309,4,-9.8,41.3,17.4,1118,813,64,-46.61,1814
Fivemile Creek ,31,38.06638,-120.35368,465,14.3,24.3,5.7,18.6,818,59,29.8,414,46,3527,1965,627,294,108,311,204,10,-17.9,45.2,17,1339,920,51,-54.1,2021
Nicasio Creek,32,38.0695,-122.76317,412,13.6,18,7.8,10.1,1105,33,21.4,537.7,26,3128,1815,178,347,40,347,307,7,-9.3,37.8,17.5,1065,660,64,16.96,1539
NF Stanislaus,33,38.3872,-120.21049,1932,8.9,18.7,1.3,17.4,1299,128,14.6,146.3,183,1988,3417,132,219,147,287,139,143,-24.9,38.3,18,994,543,58,43.4,968
Camp Creek 2,34,38.67988,-120.41679,1427,10.8,21,2.6,18.4,1306,112,16,186.9,120,2501,2886,277,238,140,293,153,71,-23.3,41,17.3,1130,649,54,23.68,1323
Wrights Road,35,38.7854,-120.21366,1643,8.6,18.5,0.9,17.6,1150,140,16.2,132.6,195,1888,3533,111,200,156,278,121,138,-27.2,37.9,19.7,1022,549,53,27.31,894
Creek to Rubicon,36,38.92881,-120.49947,1330,11.3,21.4,3.4,18,1447,118,14.7,180.6,98,2603,2746,303,261,130,303,172,58,-20.8,40.7,16.7,1077,604,58,45.35,1377
Duncan Creek,37,39.12205,-120.49242,1535,9.2,19.3,1.3,18,1639,137,11.7,140.9,176,2060,3348,156,218,152,288,136,171,-25.4,38.9,19.7,1014,551,56,75.93,1021
Fiddle Creek,38,39.5204,-120.99815,700,13.2,23.2,4.7,18.4,1676,118,13.8,195.8,64,3156,2251,480,280,120,307,187,34,-18.8,42.8,16.8,1233,713,53,44.68,1759
Cherokee Creek,39,39.55384,-120.98785,1297,11.7,21.5,4.1,17.4,1863,141,11.7,152,82,2705,2597,313,275,123,306,183,57,-19.4,40,17.9,1077,584,59,84.46,1427
Little North Fork Middle Fork Feather,40,39.71209,-121.27485,955,13,22.7,5.3,17.4,1804,127,12.8,179.5,57,3088,2249,435,298,106,316,210,31,-16.9,41.4,16,1121,626,59,71.55,1686
South Fork,41,39.74001,-123.63228,407,11.9,18.7,6.2,12.6,2022,122,10.8,154,48,2617,2392,159,301,106,314,208,27,-15.6,39.8,16.1,1048,557,59,110.11,1224
North Feather (Chip's Creek),42,39.99982,-121.26988,677,11.7,21.7,3.2,18.6,1181,102,18.4,213,93,2737,2624,338,259,130,296,166,43,-21.5,41.6,13.7,1156,701,54,9.87,1466
Bear Creek,43,40.43141,-123.98378,29,12.2,17.4,7.3,10.2,1266,94,17.5,186.2,35,2654,2246,108,332,68,331,263,10,-11.3,36.9,15.4,941,508,65,48.87,1183
