ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
387,Arroyo Sequit,Arroyo Sequit,18,2010,,Baseline,387,01-Apr,C12,866.3,2.2,2.3,79.3,Quality Mimulus Plate 4 Angert 2020 DM,C12,30,2,30,Angert Mimulus – 4,C12,30,79.3,
388,Arroyo Sequit,Arroyo Sequit,18,2010,,Baseline,388,01-Apr,D12,43.8,2.1,2.4,4.8,Quality Mimulus Plate 4 Angert 2020 DM,D12,35,32,35,Angert Mimulus – 4,D12,35,4.79,
389,Arroyo Sequit,Arroyo Sequit,18,2010,,Baseline,389,01-Apr,E12,122.2,2.1,2.4,16.7,Quality Mimulus Plate 4 Angert 2020 DM,E12,30,9,30,Angert Mimulus – 4,E12,30,16.7,
390,Arroyo Sequit,Arroyo Sequit,18,2010,,Baseline,390,01-Apr,F12,90.2,2.1,2.3,20,Quality Mimulus Plate 4 Angert 2020 DM,F12,30,8,30,Angert Mimulus – 4,F12,30,20,
391,Arroyo Sequit,Arroyo Sequit,18,2010,,Baseline,391,01-Apr,G12,74.1,2,2.3,8.2,Quality Mimulus Plate 4 Angert 2020 DM,G12,30,19,30,Angert Mimulus – 4,G12,30,8.24,
392,Baker Creek,Baker Creek,23,2010,,Baseline,392,01-Apr,H12,187.8,2.1,2.4,40.3,Quality Mimulus Plate 4 Angert 2020 DM,H12,30,4,30,Angert Mimulus – 4,H12,30,40.3,
393,Baker Creek,Baker Creek,23,2010,,Baseline,393,01-May,A1,106.5,1.9,2.3,34.6,Quality Mimulus Plate 5 Angert 2020 DM,A1,30,5,30,Angert Mimulus – 5,A1,30,34.6,
394,Baker Creek,Baker Creek,23,2010,,Baseline,394,01-May,B1,493.9,1.9,2.3,61.4,Quality Mimulus Plate 5 Angert 2020 DM,B1,30,3,30,Angert Mimulus – 5,B1,30,61.4,
395,Baker Creek,Baker Creek,23,2010,,Baseline,395,01-May,C1,101.4,1.9,2.3,12,Quality Mimulus Plate 5 Angert 2020 DM,C1,30,13,30,Angert Mimulus – 5,C1,30,12,
396,Baker Creek,Baker Creek,23,2010,,Baseline,396,01-May,D1,81.5,1.9,2.1,6.5,Quality Mimulus Plate 5 Angert 2020 DM,D1,30,24,30,Angert Mimulus – 5,D1,30,6.5,
397,Baker Creek,Baker Creek,23,2010,,Baseline,397,01-May,E1,132.5,1.9,2,12.3,Quality Mimulus Plate 5 Angert 2020 DM,E1,30,13,30,Angert Mimulus – 5,E1,30,12.3,
398,Bear Creek ,Bear Creek ,43,2009,,Baseline,398,01-May,F1,148.3,1.9,2.2,13.5,Quality Mimulus Plate 5 Angert 2020 DM,F1,30,12,30,Angert Mimulus – 5,F1,30,13.5,
399,Bear Creek ,Bear Creek ,43,2009,,Baseline,399,01-May,G1,180.2,2,2.4,15.1,Quality Mimulus Plate 5 Angert 2020 DM,G1,30,10,30,Angert Mimulus – 5,G1,30,15.1,
400,Bear Creek ,Bear Creek ,43,2009,,Baseline,400,01-May,H1,579.8,1.8,2.3,42.3,Quality Mimulus Plate 5 Angert 2020 DM,H1,30,4,30,Angert Mimulus – 5,H1,30,42.3,
401,Bear Creek ,Bear Creek ,43,2009,,Baseline,401,01-May,A2,149.6,2,2.2,16.2,Quality Mimulus Plate 5 Angert 2020 DM,A2,30,10,30,Angert Mimulus – 5,A2,30,16.2,
402,Bear Creek ,Bear Creek ,43,2009,,Baseline,402,01-May,B2,430.4,1.9,2.2,48.6,Quality Mimulus Plate 5 Angert 2020 DM,B2,30,4,30,Angert Mimulus – 5,B2,30,48.6,
403,Buck Meadows,Buck Meadows,27,2010,,Baseline,403,01-May,C2,506.8,1.9,2.2,61.5,Quality Mimulus Plate 5 Angert 2020 DM,C2,30,3,30,Angert Mimulus – 5,C2,30,61.5,
