Site_Name,Paper_ID,Latitude,Longitude,Elevation,MAT,MAP,PAS,EXT,CMD,Tave_wt,Tave_sm,PPT_wt,PPT_sm
Sweetwater,1,32.89928,-116.5849,1168,13.5,629,6,42.6,918,7.2,21,293,26
West Fork Mojave River,2,34.28425,-117.37539,1092,14.2,581,5,41.4,895,7.5,21.8,299,23
NFMF Tule,3,36.20081,-118.65092,1288,11.7,863,32,40.5,759,4.2,20.4,429,22
Redwoods,4,36.69096,-118.90961,1682,9,933,105,37.9,639,1.9,17.3,468,22
Wawona,5,37.539,-119.654,1214,11.8,1003,29,40.9,769,4.9,20,523,18
Oregon Creek,6,39.39442,-121.08302,440,14.9,1368,12,44.3,797,7.4,23.2,672,22
Little Jameson Creek,7,39.74298,-120.70401,1593,8.4,1338,199,38.3,569,0.8,16.9,645,48
Deep Creek,8,41.66546,-123.11341,680,12.1,289,11,42.5,935,3.6,21.4,123,31
O'Neil Creek,9,41.80979,-123.11887,1092,11,942,43,40.1,654,3.6,19.6,455,38
Deer Creek,10,42.27411,-123.63617,393,11.8,1542,47,42.5,684,4.6,19.8,749,38
Rock Creek,11,43.37876,-122.95207,1168,9.8,2474,104,37.3,282,4,16.8,1059,125
Mill Creek,12,34.07808,-116.87558,1990,7.6,824,147,35.9,653,0.7,15.7,392,38
Cottonwood Creek,13,32.60831,-116.70098,264,16.5,371,1,45,1152,10.7,23,174,7
Hauser Creek,14,32.65822,-116.53235,793,14.6,375,2,44.5,1162,8.8,21.5,183,23
Kitchen Creek,15,32.75206,-116.45221,1172,13,545,6,42.4,963,7,20.1,254,31
Chariot Canyon,16,33.03596,-116.53623,1071,14.3,577,4,42.7,953,7.7,22,258,42
Whitewater Canyon,17,33.99329,-116.66267,697,17.5,278,1,44.9,1270,10.2,25.5,141,19
Arroyo Sequit,18,34.06511,-118.93279,70,17.5,389,0,41.9,889,14,21,226,4
Trib to W Fork Mojave River,19,34.28497,-117.37862,1123,14,601,5,41.2,885,7.4,21.6,310,23
Manzana Creek,20,34.77171,-119.94363,543,16.1,617,2,44.1,946,9.9,23.4,362,2
