S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.1749999999999972,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,CMD
-2.3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1.7249999999999943,1,1,1,1.4749999999999943,CMD
-2.1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,1,1,2,1,2,1,2,1,2,CMD
-1.9,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2.9250000000000114,1,1,1,2,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,CMD
-1.7,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,1,1,3,1,2,1,3,1,2.6499999999999773,CMD
-1.5,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,3,1,2,1,2,1,3,1,2,1,2,1,1,1,2,1,3,1,1.8999999999999915,1,2,CMD
-1.3,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,1,1,3,1,3,1,2,1,2,CMD
-1.1,0,0,1,3,0,0,0,1,0,1,0,0,1,4,1,4,1,3,1,3,1,4,1,3,1,3,1,2,1,3,1,3,1,3,1,3,CMD
-0.9,0,0,0,3,0,0,0,1,0,0,0,0,1,5,1,3,1,3,1,2,1,4,1,3,1,3,1,1,1,4,1,3,1,2,1,3,CMD
-0.7,1,3,1,3,0,0,0,2,1,1,0,1,1,5,1,4,1,3,1,2,1,4,1,3,1,3,1,2,1,3.3500000000000227,1,4,1,3,1,3,CMD
-0.5,3,2,7,2,3,4,0,1,4,5,4,0,1,5,1,5,1,3,1,3,1,4.774999999999977,1,3,1,3,1,2,1,4,1,4,1,3,1,3,CMD
-0.3,6,0,14,8,7,7,3,4,10,8,16,5,1,6,1,5,1,3,1,2,1,5,1,3,1,3,1,1,1,3,1,4,1,2,1,4,CMD
-0.1,20,12,28,11,24,20,30,9,26,18,33,47,11,23,15.975000000000001,30,34,51,33,52,16,31,42,58,31,46,41,59,27,43,33,49,20.975,35,41,57,CMD
0.1,22,28,17,11,18,24,22,32,28,28,19,17,12,23,18,34,33,50,18,35,16,30,39,56,30,45,42,59,42,58,36,52.02499999999998,21,35,41,57,CMD
0.3,3,7,1,13,18,8,12,8,3,8,4,2,1,5,1,5,1,3,1,2,1,5,1,3,1,3,1,2,1,3,1,4,1,2,1,3,CMD
0.5,11,8,1,11,11,9,8,4,4,6,1,2,1,4,1,5,1,2,1,3,1,5.199999999999932,1,3,1,3,1,2,1,4,1,4,1,3,1,4,CMD
0.7,12,6,1,8,6,8,1,4,3,3,0,2,1,4,1,4,1,2,1,2,1,4,1,3,1,3,1,2,1,4,1,5,1,2,1,3,CMD
0.9,1,1,0,2,0,1,0,1,0,0,0,0,1,4,1,3,1,3,1,2,1,5,1,3,1,3,1,1,1,4,1,4,1,2,1,3,CMD
1.1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,5,1,2,1,2,1,4,1,2,1,3,1,2,1,3,1,3,1,2,1,3,CMD
1.3,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,1,2,1,2,1,4,1,2,1,3,1,1,1,3,1,3,1,2,1,2.625,CMD
1.5,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,3,1,2,1,2,1,3,1,2,1,2.974999999999966,1,1,1,2,1,3,1,2,1,2,CMD
1.7,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,3,1,2.75,1,2,1,3,1,2,1,3,1,1,1,2.7749999999999773,1,2,1,2,1,2,CMD
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2.4499999999999886,1,2,1,2,1,3,1,2,1,2.549999999999983,1,2,1,2,1,2,1,1.8999999999999986,1,2,CMD
2.1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2.125,1,3,1,2,1,2,1,1,1,2,1,2,1,1,1,2,CMD
2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,2,CMD
2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,CMD
