I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
1,1,1.86260377,0.59172966,13.19313176,3.29077759
1,2,-0.54171576,0.20829191,11.45184059,2.81167196
1,3,0.34450524,0.17324014,-2.07757942,0.39057863
1,4,0.39354608,0.21608982,-3.77515622,0.32603615
1,5,-0.32073386,0.08459803,2.88320153,0.61055716
1,6,-0.29143096,0.11914833,-4.39346765,0.39368662
1,7,-0.4864462,0.16002871,2.17745212,0.52054514
1,8,-0.00338055,0.04665318,-6.48299574,0.49389938
1,9,0.22435422,0.08117973,-7.02185318,0.68730322
1,10,0.14905947,0.07568149,-6.98147195,0.68149453
1,11,-0.33556772,0.22124252,1.00198652,0.30972573
1,12,0.08162212,0.05927127,15.26258269,3.34458132
1,13,-0.00184704,0.03542724,17.72340382,4.4140008
1,14,0.04189343,0.03165428,17.82677379,4.3348173
1,15,-0.54748587,0.17188701,17.79303748,4.26599794
1,16,-0.2437336,0.05111391,17.41014434,4.15399042
1,17,0.03748541,0.03471936,10.87276052,2.60503393
1,18,-0.03349831,0.04255683,17.27951951,3.35648582
1,19,0.07476627,0.02413562,13.73367144,3.15791344
1,20,0.00512428,0.02876328,14.25809206,2.99682306
1,21,-0.08807488,0.1100224,-2.2219962,0.19255931
1,22,-0.16549782,0.06804386,-2.56320583,0.28912804
1,23,0.07880669,0.03191768,2.02155634,0.54290371
1,24,-0.62907106,0.1566125,-3.18180035,0.49085405
1,25,0.00684359,0.06102913,-3.03278018,0.52032257
1,26,-0.3524376,0.08580774,-2.432839,0.23314343
1,27,0.34448509,0.08973463,-3.19474194,0.20602407
1,28,-0.40290786,0.21467957,-3.13220138,0.3175493
1,29,0.14083329,0.07277831,-2.75011239,0.25617288
1,30,-0.1453843,0.07227054,-3.18376876,0.22475499
1,31,-0.10964746,0.08544942,-0.99608543,0.27295941
1,32,0.03882136,0.02716105,-4.75406958,0.36374988
1,33,0.01270898,0.04915423,-4.54090583,0.45054845
1,34,-0.07377801,0.05134954,-5.28713201,0.32605926
1,35,-0.05966922,0.04414132,-5.28311974,0.35293376
1,36,-0.12760526,0.04882437,-5.00593336,0.42324565
1,37,0.28628604,0.11239982,-5.83396572,0.45164918
1,38,0.42483603,0.16096196,-3.30863063,0.24700721
1,39,0.31192501,0.18235282,1.56358221,0.4162928
1,40,-0.28906776,0.13774804,0.41618734,0.14883893
1,41,0.05108337,0.04229047,-6.9167797,0.48730861
1,42,0.12022098,0.04213552,-8.11601186,0.56091363
1,43,0.04589759,0.04709532,-7.06207065,0.44187809
