AccessionNumber,Resurrection,Sequenced
AA1577,387,
AA1578,388,
AA1579,389,
AA1580,390,
AA1581,391,
AA1566,392,
AA1567,393,
AA1568,394,
AA1569,395,
AA1570,396,
AA1571,397,
GC0090,398,
GC0353,399,
GC0495,400,
GC0893,401,
GC0978,402,
AA1484,403,
AA1485,404,
GC0122,405,
GC0318,406,
GC0491,407,
GC0502,408,
GC0618,409,
GC0657,410,
GC0844,411,
GC0890,412,
GC0906,413,
GC0972,414,
GC0982,415,
GC1006,416,
GC0037,417,
GC0038,418,
GC0289,419,
GC0299,420,
GC0469,421,
GC0542,422,
GC0926,423,
AA1479,424,
AA1480,425,
AA1481,426,
AA1482,427,
AA1589,428,
AA1590,429,
AA1591,430,
AA1592,431,
AA1593,432,
AA1594,433,
AA1595,434,
AA1498,435,
AA1499,436,
AA1500,437,
AA1501,438,
CH01,439,
CH02,440,
CH03,441,
CH04,442,
CH05,443,
CH06,444,
CH07,445,
CH08,446,
CH09,447,
CH10,448,
CH11,449,
CH12,450,
CH13,451,
CH14,452,
CH15,453,
CH16,454,
CH17,455,
CH18,456,
CH19,457,
CH20,458,
GC0029,459,
GC0113,460,
GC0157,461,
GC0184,462,
GC0209,463,
GC0273,464,
GC0310,465,
GC0368,466,
GC0536,467,
GC0565,468,
GC0602,469,
GC0739,470,
GC0768,471,
GC0769,472,
GC0772,473,
GC0938,474,
GC1056,475,
GC1060,476,
GC1116,477,
AA1588,478,
JP0963,479,
GC0083,480,
GC0105,481,
GC0133,482,
GC0214,483,
GC0392,484,
GC0426,485,
GC0427,486,
GC1002,487,
GC1062,488,
GC1070,489,
GC1071,490,
GC1146,491,
GC1161,492,
GC1197,493,
AA1532,494,
AA1533,495,
AA1534,496,
AA1535,497,
AA1583,498,
AA1584,499,
AA1585,500,
GC0205,501,
GC0217,502,
GC0344,503,
GC0354,504,
GC0362,505,
GC0364,506,
GC0431,507,
GC0440,508,
GC0449,509,
GC0452,510,
GC0928,511,
GC0996,512,
GC1166,513,
GC1174,514,
GC1181,515,
AA1386,516,
AA1387,517,
AA1388,518,
AA1582,519,
AA1522,520,
AA1523,521,
AA1524,522,
AA1525,523,
AA1526,524,
AA1527,525,
AA1528,526,
AA1529,527,
AA1596,528,
AA1597,529,
AA1598,530,
AA1599,531,
AA1600,532,
AA1601,533,
AA1602,534,
AA1603,535,
AA1604,536,
AA1605,537,
AA1606,538,
AA1607,539,
AA1608,540,
AA0106,541,
AA0107,542,
AA0108,543,
AA1433,544,
AA1434,545,
AA1435,546,
AA1436,547,
AA1437,548,
AA1438,549,
AA1439,550,
AA1440,551,
AA1441,552,
AA1442,553,
KI09,554,
KI10,555,
KI11,556,
KI12,557,
KI13,558,
KI14,559,
KI15,560,
KI16,561,
KI17,562,
KI18,563,
KI19,564,
JP0712,565,
JP0716,566,
AA1371,575,
AA1372,576,
AA1373,577,
AA1374,578,
AA1375,579,
AA1376,580,
AA1377,581,
AA1586,582,
AA1587,583,
JP0254,584,
JP0255,585,
JP0256,586,
AA1502,587,
AA1504,589,
MI01,597,
MI02,598,
MI03,599,
MI04,600,
MI05,601,
MI06,602,
MI07,603,
MI08,604,
MI09,605,
MI10,606,
MI11,607,
MI12,608,
MI13,609,
MI14,610,
MI15,611,
MI16,612,
MI17,613,
MI18,614,
MI19,615,
MI20,616,
AA0109,617,
AA0110,618,
AA0111,619,
AA1550,620,
AA1551,621,
AA1552,622,
AA1553,623,
AA1554,624,
AA1555,625,
AA1556,626,
AA1557,627,
AA1558,628,
AA1559,629,
AA1560,630,
AA1561,631,
AA1562,632,
AA1563,633,
AA1564,634,
AA1565,635,
GC0135,636,
GC0494,637,
GC0950,638,
GC0976,639,
GC0989,640,
GC1084,641,
GC1141,642,
GC0063,643,
GC0177,644,
GC0286,645,
GC0421,646,
GC0424,647,
GC0434,648,
GC0497,649,
GC0761,650,
GC0805,651,
GC0904,652,
GC1037,653,
GC1145,654,
GC1185,655,
JP0092,656,
JP0093,657,
JP0094,658,
JP0100,659,
AA1514,662,
AA1515,663,
AA1516,664,
AA1517,665,
AA1518,666,
AA1519,667,
AA1520,668,
AA1521,669,
AA1392,672,
AA1397,677,
AA1399,679,
ON09,684,
ON10,685,
ON11,686,
ON12,687,
ON13,688,
ON14,689,
AA1444,691,
AA1446,693,
OR01,700,
OR02,701,
OR03,702,
OR04,703,
OR05,704,
OR06,705,
OR07,706,
OR08,707,
OR09,708,
OR10,709,
OR11,710,
OR12,711,
OR13,712,
OR14,713,
OR15,714,
OR16,715,
OR17,716,
OR18,717,
OR19,718,
OR20,719,
PA07,720,
PA08,721,
PA09,722,
PA10,723,
PA18,724,
GC0269,725,
GC0552,726,
GC0915,727,
GC0919,728,
GC0986,729,
AA1538,730,
AA1539,731,
AA1540,732,
AA1541,733,
AA1542,734,
AA1543,735,
AA1544,736,
AA1545,737,
AA1546,738,
AA1547,739,
AA1548,740,
AA1549,741,
RE19,742,
RE20,743,
AA1454,745,
AA1460,749,
RO07,754,
RO08,755,
RO09,756,
RO10,757,
RO11,758,
RO12,759,
RO13,760,
RO14,761,
RO15,762,
RO16,763,
JP0015,764,
JP0016,765,
JP0017,766,
JP0018,767,
JP0021,768,
GC0339,769,
GC0346,770,
GC0366,771,
GC0456,772,
GC0827,773,
GC0884,774,
GC0942,775,
GC0951,776,
JP0901,777,
JP0902,778,
JP0903,779,
JP0725,780,
JP0727,781,
JP0728,782,
JP0729,783,
GC0088,784,
GC0324,785,
GC0371,786,
GC0635,787,
GC0937,788,
GC0241,789,
GC0242,790,
GC0480,791,
GC0866,792,
GC0963,793,
AA1536,794,
AA1537,795,
AA1407,799,
AA1408,800,
AA1414,805,
CU06,806,
CU07,807,
CU08,808,
CU18,809,
CU19,810,
CU20,811,
AA0407,812,
AA0408,813,
AA0409,814,
AA0410,815,
AA0411,816,
AA1572,817,
AA1573,818,
AA1574,819,
AA1575,820,
AA1576,821,
JP0687,822,
JP0688,823,
GC0045,824,
GC0720,825,
GC0838,826,
GC0872,827,
GC0921,828,
GC1074,829,
GC1075,830,
GC1077,831,
GC1097,832,
GC1140,833,
AA1415,834,
AA1416,835,
AA1417,836,
AA1420,839,
AA1421,840,
AA1424,843,
AA1488,844,
AA1489,845,
AA1490,846,
AA1491,847,
AA1492,848,
AA1493,849,
AA1494,850,
AA1495,851,
AA1496,852,
WH01,853,
WH02,854,
WH03,855,
WH04,856,
WH05,857,
WH06,858,
WH07,859,
WH08,860,
WH09,861,
WH10,862,
WH11,863,
WH12,864,
WH13,865,
WH14,866,
WH15,867,
WH16,868,
WH17,869,
WH18,870,
WH19,871,
WH20,872,
GC0288,873,
GC0411,874,
GC0745,875,
GC0903,876,
GC0960,877,
GC1152,878,
GC1176,879,
GC1192,880,
Yakima_1,881,
Yakima_2,882,
Yakima_3,883,
Yakima_4,884,
Yakima_5,885,
Yakima_6,886,
Yakima_7,887,
Yakima_8,888,
Yakima_9,889,
Yakima_10,890,
Yakima_11,891,
Yakima_12,892,
SS3658,893,
SS3659,894,
SS3660,895,
SS3661,896,
SS3662,897,
SS3663,898,
SS3664,899,
SS3665,900,
SS3666,901,
SS3667,902,
SS3668,903,
SS3669,904,
SS3670,905,
SS3671,906,
SS3672,907,
SS3673,908,
SS3674,909,
SS3675,910,
SS3676,911,
SS3677,912,
SS3322,913,
SS3326,914,
SS3327,915,
SS3328,916,
SS3329,917,
SS3330,918,
SS3331,919,
SS3332,920,
SS3333,921,
SS3334,922,
SS3335,923,
SS3336,924,
SS3337,925,
SS3338,926,
SS3339,927,
SS3340,928,
SS3341,929,
SS3342,930,
SS3343,931,
SS3344,932,
SS3027,933,
SS3028,934,
SS3029,935,
SS3030,936,
SS3031,937,
SS3032,938,
SS3033,939,
SS3034,940,
SS3035,941,
SS3036,942,
SS3037,943,
SS3038,944,
SS3039,945,
SS3040,946,
SS3041,947,
SS3042,948,
SS3043,949,
SS3044,950,
SS3045,951,
SS3046,952,
