S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-50,0,0,0,0,0,0,0,0,0,0,0,0,1,2.25,1,2.625,1,2,1,3,1,1,1,2,1,2,1,5,1,2,1,2,1,2,1,2,MAP
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAP
-30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1.0999999999999943,1,1,MAP
-20,3,11,3,3,2,0,0,11,4,0,3,1,12.975000000000001,25,9,23,5,16,8,21.024999999999977,5,18,4,15,3,13,5,17,3,13,4,16,11,26,2,11,MAP
-10,0,1,1,0,0,5,13,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MAP
0,115,108,119,122,126,122,116,103,123,129,123,115,79,98,82,103,85,105,83,102,78,98,93,112,69,90,89,107,103,118,99,115,34,55,94,110,MAP
10,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,MAP
20,9,6,6,5,1,0,1,4,2,0,2,9,13,28,7,21,15,32,12,28,22,39,9,23,31,50,7,20,5,16,5,16,55,78,2,11,MAP
30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1.4749999999999979,1,2,1,1,MAP
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAP
50,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,MAP
