Site_Name,Paper_ID,Lat,Long,Elevation,offset_2011,offset_2012,offset_2013,offset_2014,offset_2015,offset_2016,offset_4.5_peakbf2,offset_8.5_peakbf2
Sweetwater,1,32.89928,-116.5849,1168,0.015392951667308807,0.022373825311660767,0.01551264338195324,0.051796410232782364,0.05388382822275162,0.03521778807044029,0.011549108661711216,0.012298140674829483
West Fork Mojave River,2,34.28425,-117.37539,1092,0.03380541503429413,0.03747666999697685,0.03050711378455162,0.06501977145671844,0.06555226445198059,0.06798621267080307,0.013910632580518723,0.017761025577783585
NFMF Tule,3,36.20081,-118.65092,1288,0.02570713497698307,0.059363652020692825,0.07172263413667679,0.08424560725688934,0.06556858122348785,0.042913444340229034,0.01890053041279316,0.03137414529919624
Redwoods,4,36.69096,-118.90961,1682,0.026657219976186752,0.04809526726603508,0.07186861336231232,0.08111818134784698,0.0622214674949646,0.046861082315444946,0.010092423297464848,0.016521813347935677
Wawona,5,37.539,-119.654,1214,0.020753853023052216,0.03687294200062752,0.06299902498722076,0.0647793784737587,0.04297332093119621,0.03440471366047859,0.03185128793120384,0.05951452627778053
Oregon Creek,6,39.39442,-121.08302,440,0.03337007015943527,0.02557331882417202,0.06688634306192398,0.05659419670701027,0.08255063742399216,0.0306453388184309,0.05297011509537697,0.05786896124482155
Little Jameson Creek,7,39.74298,-120.70401,1593,0.02265794575214386,0.03273822367191315,0.06465666741132736,0.06232822686433792,0.0640781968832016,0.03492455184459686,0.008103808388113976,0.009744785726070404
Deep Creek,8,41.66546,-123.11341,680,0.059176862239837646,0.00785914994776249,0.025782324373722076,0.06269136071205139,0.06002181023359299,0.039052799344062805,0.03075239434838295,0.03345097601413727
O'Neil Creek,9,41.80979,-123.11887,1092,0.024052467197179794,0.014640356414020061,0.05082366615533829,0.06330715864896774,0.05973762646317482,0.030317578464746475,0.014931460842490196,0.025871358811855316
Deer Creek,10,42.27411,-123.63617,393,0.020957987755537033,0.009924900718033314,0.040279947221279144,0.05928315967321396,0.05801190808415413,0.026865487918257713,0.01278374157845974,0.015963200479745865
Rock Creek,11,43.37876,-122.95207,1168,0.023719513788819313,0.0074050757102668285,0.012700827792286873,0.04905744642019272,0.05837125703692436,0.029505936428904533,0.009288492612540722,0.012496406212449074
Mill Creek,12,34.07808,-116.87558,1990,0.008004026487469673,0.04509156197309494,0.04136866331100464,0.06590548902750015,0.05339838191866875,0.047581546008586884,0.005856539122760296,0.01062612421810627
