Site_Name,Paper_ID,Lat,Long,Elevation,offset_1215,offset_2011,offset_2012,offset_2013,offset_2014,offset_2015,offset_2016,offset_4.5_peakbf2,offset_8.5_peakbf2
Sweetwater,1,32.89928,-116.5849,1168,0.0341571606695652,0.017454015091061592,0.02522617019712925,0.015762856230139732,0.060795996338129044,0.05702851340174675,0.0411231629550457,0.009959940798580647,0.01081242598593235
West Fork Mojave River,2,34.28425,-117.37539,1092,0.048740945756435394,0.03282732889056206,0.04458123445510864,0.03411408141255379,0.07656016945838928,0.06891204416751862,0.06715935468673706,0.012396234087646008,0.016604648903012276
NFMF Tule,3,36.20081,-118.65092,1288,0.07562043517827988,0.022846853360533714,0.06559032946825027,0.07603643834590912,0.09531193971633911,0.07201167196035385,0.05106007680296898,0.022295193746685982,0.03191332146525383
Redwoods,4,36.69096,-118.90961,1682,0.07551420480012894,0.0280600693076849,0.05724629759788513,0.07558688521385193,0.09388527274131775,0.07106813788414001,0.05591588467359543,0.01206509955227375,0.0197502002120018
Wawona,5,37.539,-119.654,1214,0.05001956969499588,0.025160210207104683,0.041903119534254074,0.06056005507707596,0.076168157160282135,0.05114859715104103,0.04120370373129845,0.030643707141280174,0.05637452378869057
Oregon Creek,6,39.39442,-121.08302,440,0.05187322571873665,0.04242613539099693,0.03340208902955055,0.067997045814991,0.06738746911287308,0.08905600756406784,0.03835495561361313,0.04816359654068947,0.05344279855489731
Little Jameson Creek,7,39.74298,-120.70401,1593,0.05294153094291687,0.029967090114951134,0.041512541472911835,0.06502722948789597,0.07419167459011078,0.07694894075393677,0.042409952729940414,0.011607427150011063,0.013606386259198189
Deep Creek,8,41.66546,-123.11341,680,0.044372446835041046,0.05927865207195282,0.009494815953075886,0.02939962036907673,0.0745784193277359,0.07140237838029861,0.04227361083030701,0.031046444550156593,0.034126345068216324
O'Neil Creek,9,41.80979,-123.11887,1092,0.044022828340530396,0.028816258534789085,0.018346011638641357,0.04773210734128952,0.07534594088792801,0.07111916691064835,0.03674409165978432,0.017071081325411797,0.02655864879488945
Deer Creek,10,42.27411,-123.63617,393,0.03656435385346413,0.025096381083130836,0.017359783872961998,0.041897524148225784,0.07053181529045105,0.06869904696941376,0.03399195149540901,0.015527521260082722,0.019343912601470947
Rock Creek,11,43.37876,-122.95207,1168,0.03205066919326782,0.028241777792572975,0.014139664359390736,0.016046246513724327,0.05844094976782799,0.07049648463726044,0.036098480224609375,0.010856331326067448,0.015547235496342182
Mill Creek,12,34.07808,-116.87558,1990,0.05459535866975784,0.009195620194077492,0.05147901922464371,0.044401686638593674,0.07692635804414749,0.06467054784297943,0.05348045006394386,0.0066045611165463924,0.011762052774429321
