Site_Name,Paper_ID,Lat,Long,Elevation
Sweetwater,1,32.89928,-116.5849,1168
West Fork Mojave River,2,34.28425,-117.37539,1092
NFMF Tule,3,36.20081,-118.65092,1288
Redwoods,4,36.69096,-118.90961,1682
Wawona,5,37.539,-119.654,1214
Oregon Creek,6,39.39442,-121.08302,440
Little Jameson Creek,7,39.74298,-120.70401,1593
Deep Creek,8,41.66546,-123.11341,680
O'Neil Creek,9,41.80979,-123.11887,1092
Deer Creek,10,42.27411,-123.63617,393
Rock Creek,11,43.37876,-122.95207,1168
Mill Creek,12,34.07808,-116.87558,1990
Cottonwood Creek,13,32.60831,-116.70098,264
Hauser Creek,14,32.65822,-116.53235,793
Kitchen Creek,15,32.75206,-116.45221,1172
Chariot Canyon,16,33.03596,-116.53623,1071
Whitewater Canyon,17,33.99329,-116.66267,697
Arroyo Sequit,18,34.06511,-118.93279,70
Trib to W Fork Mojave River,19,34.28497,-117.37862,1123
Manzana Creek,20,34.77171,-119.94363,543
Paradise Creek,21,36.51776,-118.75877,920
North Fork Seep,22,36.52105,-118.89359,482
Baker Creek,23,37.15761,-118.3334,1435
Unknown Creek ,24,37.3592,-119.34498,1154
Crane Creek,25,37.70377,-119.75363,1311
Tenaya Creek - Yosemite,26,37.743,-119.562,1220
Buck Meadows,27,37.7769,-120.063,842
Carlon,28,37.81006667,-119.8568,1324
Rainbow Pool,29,37.8188,-120.0074333,851
Deer Flat Creek,30,37.89761,-121.94553,588
Fivemile Creek ,31,38.06638,-120.35368,465
Nicasio Creek,32,38.0695,-122.76317,412
NF Stanislaus,33,38.3872,-120.21049,1932
Camp Creek 2,34,38.67988,-120.41679,1427
Wrights Road,35,38.7854,-120.21366,1643
Creek to Rubicon,36,38.92881,-120.49947,1330
Duncan Creek,37,39.12205,-120.49242,1535
Fiddle Creek,38,39.5204,-120.99815,700
Cherokee Creek,39,39.55384,-120.98785,1297
Little North Fork Middle Fork Feather,40,39.71209,-121.27485,955
South Fork,41,39.74001,-123.63228,407
North Feather (Chip's Creek),42,39.99982,-121.26988,677
Bear Creek,43,40.43141,-123.98378,29
Trinity,44,40.65827,-122.91334,502
Slate Creek,45,41.25024,-123.64343,334
Salmon River 2 ,46,41.2969,-123.36034,332
Smith River,47,41.87876,-123.82774,320
Carberry Creek,48,42.05383333,-123.1629,685
North Fork Silver Creek,49,42.53529,-123.73016,920
Shasta Costa Creek,50,42.57281,-124.04742,289
Cow Creek,51,42.92653,-123.48479,884
Honey Creek,52,43.30581667,-122.95505,273
North Fork Umpqua,53,43.3282,-123.0154,225
Susan Creek,54,43.4137,-122.78043,495
Coast Fork Willamette,55,43.66,-123.0799667,252
