ID,Site,Year
1,S02,2010
2,S02,2010
3,S02,2010
4,S02,2010
5,S02,2010
6,S02,2010
7,S02,2010
8,S02,2010
9,S02,2011
10,S02,2011
11,S02,2011
12,S02,2011
13,S02,2011
14,S02,2011
15,S02,2011
16,S02,2012
17,S02,2012
18,S02,2012
19,S02,2012
20,S02,2012
21,S02,2012
22,S02,2013
23,S02,2013
24,S02,2013
25,S02,2013
26,S02,2013
27,S02,2013
28,S02,2014
29,S02,2014
30,S02,2014
31,S02,2014
32,S02,2014
33,S02,2014
34,S02,2014
35,S02,2014
36,S02,2014
37,S02,2014
38,S07,2010
39,S07,2010
40,S07,2010
41,S07,2010
42,S07,2011
43,S07,2011
44,S07,2011
45,S07,2011
46,S07,2011
47,S07,2011
48,S07,2014
49,S07,2014
50,S07,2014
51,S07,2014
52,S07,2014
53,S07,2014
54,S07,2014
55,S07,2014
56,S07,2014
57,S07,2014
58,S07,2015
59,S07,2015
60,S07,2015
61,S07,2015
62,S07,2015
63,S07,2015
64,S07,2015
65,S07,2016
66,S07,2016
67,S07,2016
68,S08,2011
69,S08,2011
70,S08,2012
71,S08,2012
72,S08,2012
73,S08,2012
74,S08,2012
75,S08,2012
76,S08,2012
77,S08,2012
78,S08,2012
79,S08,2012
80,S08,2013
81,S08,2013
82,S08,2013
83,S08,2013
84,S08,2013
85,S08,2014
86,S10,2010
87,S10,2010
88,S10,2011
89,S10,2011
90,S10,2012
91,S10,2012
92,S10,2012
93,S10,2013
94,S10,2013
95,S10,2013
96,S10,2013
97,S10,2013
98,S10,2014
99,S10,2014
100,S10,2014
101,S10,2014
102,S10,2014
103,S10,2014
104,S10,2014
105,S10,2014
106,S10,2015
107,S10,2015
108,S10,2015
109,S10,2015
110,S10,2015
111,S10,2015
112,S10,2015
113,S10,2015
114,S10,2015
115,S10,2016
116,S10,2016
117,S10,2016
118,S10,2016
119,S11,2010
120,S11,2010
121,S11,2010
122,S11,2010
123,S11,2010
124,S11,2010
125,S11,2010
126,S11,2011
127,S11,2011
128,S11,2011
129,S11,2011
130,S11,2011
131,S11,2011
132,S11,2011
133,S11,2013
134,S11,2013
135,S11,2013
136,S11,2013
137,S11,2013
138,S11,2013
139,S11,2015
140,S11,2015
141,S11,2015
142,S11,2015
143,S11,2015
144,S11,2016
145,S11,2016
146,S11,2016
147,S11,2016
148,S15,2010
149,S15,2010
150,S15,2010
151,S15,2010
152,S15,2010
153,S15,2010
154,S15,2010
155,S15,2010
156,S15,2010
157,S15,2012
158,S15,2012
159,S15,2014
160,S15,2014
161,S15,2014
162,S15,2014
163,S15,2014
164,S15,2015
165,S15,2015
166,S15,2015
167,S15,2015
168,S15,2015
169,S15,2015
170,S15,2015
171,S15,2015
172,S15,2015
173,S15,2016
174,S15,2016
175,S15,2016
176,S15,2016
177,S15,2016
178,S15,2016
179,S15,2016
180,S15,2016
181,S15,2016
182,S15,2016
183,S16,2010
184,S16,2010
185,S16,2010
186,S16,2010
187,S16,2010
188,S16,2010
189,S16,2010
190,S16,2010
191,S16,2012
192,S16,2012
193,S16,2012
194,S16,2012
195,S16,2013
196,S16,2013
197,S16,2013
198,S16,2013
199,S16,2014
200,S16,2014
201,S16,2014
202,S16,2014
203,S16,2014
204,S16,2015
205,S16,2015
206,S16,2015
207,S16,2015
208,S16,2015
209,S16,2015
210,S16,2015
211,S16,2016
212,S16,2016
213,S16,2016
214,S16,2016
215,S16,2016
216,S16,2016
217,S16,2016
218,S16,2016
219,S16,2016
220,S16,2016
221,S17,2011
222,S17,2011
223,S17,2011
224,S17,2011
225,S17,2014
226,S17,2015
227,S17,2015
228,S17,2015
229,S17,2015
230,S17,2015
231,S17,2016
232,S17,2016
233,S17,2016
234,S17,2016
235,S17,2016
236,S17,2016
237,S17,2016
238,S17,2016
239,S17,2016
240,S18,2010
241,S18,2010
242,S18,2010
243,S18,2010
244,S18,2010
245,S18,2010
246,S18,2010
247,S18,2010
248,S18,2012
249,S18,2012
250,S18,2012
251,S18,2012
252,S18,2012
253,S18,2012
254,S18,2012
255,S18,2012
256,S18,2013
257,S18,2013
258,S18,2013
259,S18,2013
260,S18,2013
261,S18,2013
262,S18,2013
263,S18,2013
264,S18,2013
265,S18,2013
266,S18,2014
267,S18,2014
268,S18,2014
269,S18,2014
270,S18,2014
271,S18,2014
272,S18,2014
273,S18,2014
274,S18,2016
275,S18,2016
276,S18,2016
277,S18,2016
278,S18,2016
279,S18,2016
280,S18,2016
281,S18,2016
282,S18,2016
283,S29,2010
284,S29,2010
285,S29,2010
286,S29,2010
287,S29,2010
288,S29,2010
289,S29,2010
290,S29,2010
291,S29,2013
292,S29,2013
293,S29,2014
294,S29,2014
295,S29,2014
