Species,longitude,latitude
herb.1,-116.3364783,33.58181806
herb.10,-121.06184,39.45785
herb.100,-117.9897672,34.17344857
herb.101,-118.777803,38.645253
herb.102,-119.5818138,34.49071306
herb.103,-119.3094789,34.67716583
herb.105,-120.3890956,39.17056532
herb.11,-121.2747925,39.71216002
herb.110,-123.7742893,42.33774476
herb.112,-119.3026664,34.38191817
herb.113,-119.2477134,34.43460726
herb.114,-117.088611,36.120833
herb.115,-119.3445,34.501
herb.118,-122.9822549,44.00675501
herb.119,-123.3704284,42.27125726
herb.120,-117.777777,34.390555
herb.122,-119.7863021,38.79634361
herb.123,-118.451092,33.38662896
herb.124,-123.4984956,42.92432449
herb.125,-121.7758428,39.85417951
herb.128,-118.7054336,38.54440565
herb.13,-123.800665,41.87675549
herb.130,-122.9835301,43.5539359
herb.132,-121.5163511,39.57672462
herb.137,-123.0838207,42.12027592
herb.138,-122.9688251,43.3144626
herb.139,-123.9311561,42.55211642
herb.14,-122.78043,43.4137
herb.142,-118.0817186,37.63115541
herb.145,-117.1632879,36.11305221
herb.151,-121.8958333,37.08127813
herb.155,-118.1112,34.3065
herb.156,-118.1070702,34.30446892
herb.161,-119.6963,34.0111
herb.163,-118.6982001,35.4946337
herb.165,-121.3405451,35.97466189
herb.166,-121.2379618,35.98405329
herb.17,-116.7053344,32.85585493
herb.174,-121.2346234,35.87348615
herb.177,-117.6031423,34.23625301
herb.179,-122.162795,40.28117581
herb.180,-116.6595141,32.59128873
herb.181,-121.4231301,39.66278465
herb.184,-117.6243922,34.23656982
herb.185,-123.4139383,42.35625372
herb.186,-123.540476,43.47449708
herb.189,-120.4187542,38.78259814
herb.19,-116.4937214,32.77144411
herb.191,-123.781311,42.34789793
herb.196,-117.6625,34.179166
herb.199,-122.0433,37.253
herb.2,-121.5396211,36.34262906
herb.200,-122.0879958,37.27945678
herb.201,-121.5451376,37.35054838
herb.203,-119.969,37.487
herb.204,-119.919,37.526
herb.206,-122.1502377,37.79762215
herb.208,-121.9753703,37.88293451
herb.209,-120.1064816,38.09781313
herb.21,-123.3145,42.4263
herb.210,-119.5966381,37.75038584
herb.211,-121.9462052,37.91713175
herb.212,-121.6439346,40.13745506
herb.213,-123.0625208,42.13463989
herb.214,-123.7492138,42.17596756
herb.215,-122.8894071,42.17808454
herb.218,-118.5680372,34.31697681
herb.219,-122.0996211,38.50259594
herb.221,-119.8635709,37.82339466
herb.222,-120.3274,37.9022
herb.223,-120.1486343,37.9279122
herb.225,-120.1773007,37.99877829
herb.226,-120.1009733,38.0448521
herb.227,-120.1514388,38.07367427
herb.23,-122.995735,38.500579
herb.230,-122.7303475,38.55856941
herb.233,-118.3669617,34.26737235
herb.237,-122.6186111,39.85194444
herb.238,-122.708333,39.225
herb.239,-122.708333,39.25
herb.240,-122.7008655,39.23486947
herb.243,-120.0197,37.9854
herb.247,-117.9238162,35.71383606
herb.248,-119.8188111,37.67131324
herb.250,-116.7444291,32.88132752
herb.251,-116.8488986,34.07689666
herb.255,-122.5338889,39.88277778
herb.264,-116.5816252,33.02990317
herb.267,-118.158332,34.275001
herb.268,-118.6575736,34.41358941
herb.277,-116.7127404,33.00101712
herb.285,-118.3060739,34.23434305
herb.286,-122.5516667,39.38222222
herb.287,-121.4366667,39.80722222
herb.288,-116.5455881,33.07052922
herb.292,-117.0067,33.0038
herb.303,-123.151343,42.01244171
herb.304,-123.1625851,42.05349423
herb.305,-123.0612482,42.11499681
herb.308,-123.0147141,43.32833323
herb.309,-122.957,43.3741
herb.310,-123.0827,43.6485
herb.311,-123.0798,43.66
herb.312,-123.6395,42.2752
herb.313,-123.479574,42.91316421
herb.314,-119.8080442,39.17643171
herb.319,-118.838,34.8983
herb.324,-122.1039255,38.59642809
herb.329,-119.6998,37.6895
herb.33,-123.5900586,39.92794029
herb.330,-119.756,37.699
herb.331,-119.864,37.857
herb.332,-118.7620994,36.35000412
herb.333,-118.8933688,36.52099313
herb.334,-119.4138682,37.20337098
herb.335,-119.3552563,37.26138355
herb.336,-119.34498,37.3592
herb.337,-119.540855,37.36664929
herb.338,-119.3361716,37.39915695
herb.339,-122.7632929,38.06961954
herb.340,-120.26627,38.24536
herb.341,-120.2791982,38.26548767
herb.345,-120.417198,38.6803567
herb.347,-120.3311594,38.76286502
herb.349,-120.4492349,38.77174897
herb.352,-120.49947,38.92881
herb.353,-120.4857335,38.95089697
herb.354,-120.48617,38.9574
herb.356,-120.5527247,38.99834078
herb.357,-120.74754,39.00674
herb.358,-120.51852,39.01917
herb.359,-120.7211762,39.02350128
herb.360,-120.49242,39.12205
herb.361,-121.08766,39.29823
herb.362,-120.74856,39.3573
herb.364,-120.97871,39.51165
herb.366,-121.00035,39.51892
herb.367,-120.74506,39.56652
herb.368,-123.63228,39.74001
herb.369,-121.26988,39.99982
herb.370,-123.98378,40.43141
herb.371,-123.9802,40.48902
herb.372,-123.1266579,40.76990188
herb.373,-123.651366,41.22874877
herb.374,-123.3598925,41.29658522
herb.375,-123.4642161,41.37890399
herb.376,-123.526997,41.53310221
herb.378,-123.116462,41.81025329
herb.379,-123.8269845,41.87882803
herb.380,-124.04742,42.57281
herb.399,-117.7784832,34.13491034
herb.40,-116.4125,32.6624
herb.401,-122.7071819,41.10743907
herb.402,-123.27,43.3793
herb.410,-122.4697205,39.0778608
herb.422,-122.2325,38.510277
herb.423,-116.49096,32.5957
herb.424,-116.6216,33.05486
herb.428,-119.84354,38.70065
herb.43,-118.23262,37.2914
herb.431,-119.22102,37.03393
herb.433,-121.1966686,40.06259743
herb.435,-118.9302,34.49005
herb.436,-118.2866443,34.29268696
herb.438,-123.6452874,41.25355708
herb.44,-122.8494461,41.83183123
herb.441,-123.364363,39.22790978
herb.442,-123.6322296,40.94408226
herb.443,-124.3477024,42.46280873
herb.444,-123.8446922,41.87590177
herb.445,-123.27626,42.92731
herb.446,-121.5686075,36.29783573
herb.447,-122.0974705,38.51146593
herb.448,-120.69473,39.75837
herb.450,-120.3473763,38.26910402
herb.451,-120.0423115,38.09357429
herb.453,-118.73235,36.15358
herb.454,-118.8023378,36.51537222
herb.455,-119.9436875,34.77201612
herb.456,-119.274595,34.51193226
herb.459,-118.5489483,35.60614955
herb.462,-118.93279,34.06511
herb.465,-116.58647,32.89913
herb.47,-121.915428,37.870532
herb.470,-119.9568619,37.5812169
herb.471,-120.98797,39.5537
herb.472,-123.73016,42.53529
herb.473,-118.2924658,34.13332643
herb.477,-121.82533,37.06235
herb.480,-118.4865739,34.17416701
herb.482,-123.095032,43.437646
herb.49,-117.6846688,34.33236798
herb.50,-121.6435817,37.36909666
herb.51,-120.0678419,38.51270718
herb.56,-120.1674918,38.24230534
herb.57,-123.5976,42.5632
herb.61,-119.6659661,34.68496984
herb.72,-119.843189,38.965222
herb.79,-119.70933,34.45190962
herb.8,-123.8064148,42.2128379
herb.82,-119.7100018,34.45980382
herb.83,-119.3008619,34.49847697
herb.85,-119.965,34.723
herb.86,-124.0641408,42.6064676
herb.87,-124.0678,42.6149
herb.89,-118.7579657,36.5199517
herb.90,-123.3048332,41.25015542
herb.92,-121.7075,39.726388
herb.93,-119.8320627,34.51443386
herb.94,-123.4281135,40.90670151
herb.95,-120.7400866,35.42419149
herb.96,-119.6617386,34.4580233
herb.97,-123.173982,42.462071
