S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,1,1,3,1,3,1,3,CMD
-1.7,0,0,0,1,3,1,4,1,4,CMD
-1.5,0,0,0,1,4,1,4,1,4.25,CMD
-1.3,0,0,1,1,5,1,5,1,5,CMD
-1.1,0,0,0,1,6,1,4,1,5,CMD
-0.9,0,0,0,1,6,1,5,1,7,CMD
-0.7,0,0,2,1,7,1,5,1,8.324999999999932,CMD
-0.5,3,0,7,1,7,1,5,2,10,CMD
-0.3,5,4,3,1,8,1,6,1,10,CMD
-0.1,55,27,19,2,13,1,8,3,13,CMD
0.1,27,54,24,12,24,7,20,7,20,CMD
0.3,2,6,21,1,9,1,6,1,7,CMD
0.5,0,2,13,1,9,1,5,1,6,CMD
0.7,0,2,6,1,9,1,6,1,5,CMD
0.9,0,0,2,1,7,1,6,1,4,CMD
1.1,0,0,0,1,6,1,5,1,3,CMD
1.3,0,0,0,1,6,1,5,1,3,CMD
1.5,0,0,0,1,5,1,5,1,2,CMD
1.7,0,0,0,1,4,1,4,1,2,CMD
1.9,0,0,0,1,4,1,4,1,2,CMD
