S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,5,1,2,1,8,1,7,1,5,1,8,1,2,1,6,1,5,1,5,1,3,MAT
-1.7,0,1,0,1,0,0,0,0,0,0,0,0,2,10,1,6,1,9,1,3,2,10.125,1,10,1,11,1,1.9249999999999972,2,10,1,5,1,9,1,6,MAT
-1.5,0,0,0,1,0,0,0,0,0,0,0,0,2,10,1,7,1,4,1,6,1,9,1,5,1,8,NA,NA,1,8,1,6,1,5,1,4,MAT
-1.3,0,1,0,3,1,0,0,1,0,0,0,0,3,14,1,8,1,7,1,6,2,11,1,10,1,10,NA,NA,1,10,1,9,1,8,1,6,MAT
-1.1,0,0,0,0,1,0,2,1,0,0,0,0,4,16,1,10,1,7,1,8,2,13,1,9,2,10,1,2,1,8,1,8,1,8,1,8,MAT
-0.9,2,0,0,6,0,0,1,3,1,1,0,0,3,14,1,7,1,8,1,6,2,11,1,8,1,9,NA,NA,3,13,2,10.149999999999977,1,7,1,7.75,MAT
-0.7,4,2,5,6,1,2,1,3,3,3,0,3,5,16,2,10,1,5,1,5,2,11,1,8,2,12,1,1,2,12,3,12,1,7,1,7,MAT
-0.5,15,12,8,10,11,8,4,6,1,21,5,15,4,15,3,13,1,8,1,7,3,14,1,8,1,10,1,3,3,13,2,12,1,7,2,10,MAT
-0.3,16,26,19,8,30,17,16,14,22,20,19,13,5,18,2,11,1,5,1,4,3,13,1,8,1,9,NA,NA,1.8500000000000014,10,2,11,1,6,1,10,MAT
-0.1,92,110,79,75,80,100,91,28,160,53,94,83,7,21,13,30,11,26,14,32,8,23,6,18,3.9750000000000014,15,9,23.024999999999977,8,22.024999999999977,14,31,6,19,8,22,MAT
0.1,58,49,92,81,84,95,100,142,57,130,94,114,65,86,82,108,77,100,59,83,58,82,100,128,85,111,119,145,112,138,111.975,138.02499999999998,56,80,146,169,MAT
0.3,27,17,21,27,26,20,5,10,14,7,20,13,2,11,5,16,1,6,1,4,2,10,1,7,1,8,NA,NA,1,7.649999999999977,2.950000000000003,12,1,5,1,9,MAT
0.5,30,19,25,31,16,11,6,13,5,15,13,10,1,10,1,9,1,4,1,7,2,10,1,6,1,9,1,3,1,9,2,11,1,5,1,9,MAT
0.7,26,13,23,20,10,7,3,10,3,12,7,8,1,7,1,8,1,3.4750000000000227,1,2,1,7,1,6,1,7.875,1,2,1,8,2,11,1,5,1,7,MAT
0.9,1,2,2,5,1,0,0,2,1,1,0,1,1,7,1,6,1,3,1,4,1,8,1,4,1,5.399999999999977,NA,NA,1,8,1,9,1,4,1,7,MAT
1.1,1,0,1,7,1,1,0,1,0,3,0,1,1,6,2,10,1,2,1,4,1,6,1,5,1,6,1,2,1,4,1,7,1,3,1,7,MAT
1.3,2,0,0,4,0,1,0,2,0,0,0,0,1,5,1,6,1,4,1,3,1,5,1,4,1,6,NA,NA,1,5,1,6,1,3,1,5,MAT
1.5,0,0,1,3,1,0,0,0,0,0,0,0,1,4,1,5,1,3,1,2,1,4,1,2,1,4,NA,NA,1,3,1,5,1,2,1,4,MAT
1.7,0,0,0,0,0,1,0,1,0,0,0,0,1,3.375,1,4,1,3,1,2,1,4,1,3,1,5,1,2,1,4,1,4,1,3,1,4,MAT
1.9,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,3,1,1.3499999999999979,1,2,1,3,1,3,1,3,1,2,1,2,1,3,1,2,1,3,MAT
-1.9,0,1,0,0,0,0,0,1,0,0,0,0,1,9,1,7,1,3,5,17,2,10,1,10,4.975000000000001,17,1,3,1,9,2,11,5,17,1,5,MAP
-1.7,1,2,0,0,1,0,0,1,1,0,0,0,3,13,1,9,10,26,1,7,4,16,8,23,8,23,1,2,8,24,2,12,17,36,1,9,MAP
-1.5,0,5,0,5,0,0,0,1,0,0,0,1,4,15,1,9,1,7,2,11,4,15,2,11,5,17,NA,NA,5,17,3,14,6,18.024999999999977,1,7,MAP
-1.3,0,2,0,7,0,0,0,6,1,1,0,0,6,20,2,11,6,21,6,19,4,16.024999999999977,9,24.024999999999977,7,21,NA,NA,7.975000000000001,22,6,20,14,31.024999999999977,1,9,MAP
-1.1,0,1,1,8,8,1,0,4,0,0,0,0,13,29,4,15,5,17,5,17,7,20,8,22,9,24,1,3,5,17.024999999999977,8,22,12,29,3,13,MAP
-0.9,5,5,0,12,1,5,5,3,1,1,0,1,8,22,2,11,7.975000000000001,22,8,21.024999999999977,7,21,6.975000000000001,19.024999999999977,8,22,NA,NA,15.975000000000001,34,13,30,11,27,2,13,MAP
-0.7,5,4,11,16,10,9,3,21,1,2,1,4,11,28,3,14,2,12,2,10,7,21,6,20,9,24,1,2,13,30,15,33.02499999999998,10,26,3,13,MAP
-0.5,47,30,19,32,27,39,18,28,4,21,11,17,11,27,8,23,8,22,8,22,10,26,6,19,10,26,1,3,17,37,16,35,9,25,5,19,MAP
-0.3,43,52,39,35,79,83,72,56,36,46,36,17,17,35,5,17,4,14.024999999999977,1,8,9,24,6,18,10,25,NA,NA,10,25,15,35,7,21,4,17,MAP
