S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,1,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,2,1,2,MAT
-1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,1,4,1,2,1,3.2250000000000227,1,3,1,4,1,1,1,4,1,4,1,2.224999999999966,1,3,MAT
-1.5,0,0,0,1,1,0,0,0,0,0,0,0,1,4,1,3,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,4,1,2,1,3,MAT
-1.3,0,1,0,0,1,0,0,0,0,0,0,0,1,6,1,3,1,3,1,3,1,4,1,3,1,4,1,1,1,4,1,5,1,3,1,3,MAT
-1.1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,4,1,3,1,3,1,4,1,4,1,4,1,2,1,4,1,5,1,3,1,4,MAT
-0.9,0,0,0,0,4,0,6,3,0,2,0,0,1,7,1,3,1,3,1,3,1,4,1,4,1,4,1,1.2000000000000028,1,5,1,6,1,3,1,4,MAT
-0.7,3,2,3,0,25,0,1,2,0,2,0,0,1,9,1,3,1,3,1,2,1,4,1,4,1,5,1,1,1,5,1,7,1,3.449999999999932,1,4,MAT
-0.5,13,8,0,3,13,4,0,4,1,7,1,1,1,8,1,5,1,4,1,3,1,5,1,3,1,5,1,2,1,6,1,7,1,3,1,5,MAT
-0.3,2,9,5,6,21,13,8,5,6,16,38,0,2,9,1,4,1,4,1,3,1,5,1,4,1,5,1,2,1,5,1,7,1,3,1,5,MAT
-0.1,16,15,20,31,11,62,15,5,85,41,41,8,3,13,6,19,3,13,24.975,45,1,8,2,10,1,8,3,14,3,14,4,15,2,10,2,12,MAT
0.1,17,2,27,50,16,16,22,27,8,22,11,93,26,42,45,65,43,63,18,36,30,49,60,81,27.975,46.02499999999998,61,80,45,64,30,48,12,26,56,76,MAT
0.3,14,1,13,7,8,10,1,0,5,6,11,3,1,7,1,6,1,4,1,3,1,5,1,3,1,5,1,1,1,5,1,7,1,3,1,5,MAT
0.5,37,20,10,8,7,6,0,0,4,5,8,6,1,8,1,4,1,3,1,3,1,6,1,3,1,5,1,3,1,6,1,7,1,3,1,4.899999999999977,MAT
0.7,37,46,43,5,6,5,0,1,4,2,2,6,1,5,1,4,1,3,1,3,1,4,1,3,1,6,1,1.4750000000000014,1,5,1,7,1,3,1,4,MAT
0.9,1,15,0,3,0,0,0,1,0,0,0,0,1,5,1,2,1,3,1,3,1,4,1,3,1,4,1,2,1,6,1,6,1,3,1,4,MAT
1.1,0,2,0,3,0,0,0,0,0,2,0,0,1,4.774999999999977,1,4,1,3,1,3,1,5,1,3,1,5,1,2,1,3,1,4,1,3,1,4,MAT
1.3,1,0,0,1,0,0,0,0,0,0,0,0,1,5,1,3,1,3,1,2.474999999999966,1,4,1,3,1,5,1,1.25,1,4,1,4,1,3,1,3,MAT
1.5,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,3,1,2,1,2,1,3,1,2,1,4,1,1,1,3,1,3,1,2,1,2,MAT
1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,4,1,2,1,4,1,3,1,5,1,2,1,4,1,3,1,3,1,3,MAT
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2.125,1,1.625,1,3,1,3,1,2,1,4,1,2,1,2,1,3,1,2,1,2,MAT
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,1,1,2.375,1,3,1,3,1,3,1,2,1,2,1,3,1,2,1,2,MAP
-1.7,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,3,1,4,1,1.8999999999999915,1,3,1,4,1,3,1,2,1,3.3999999999999773,1,3,1,3,1,3,MAP
-1.5,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,3,1,3,1,2,1,3,1,2,1,3,1,1,1,3,1,4,1,2,1,3,MAP
-1.3,0,1,0,0,0,0,0,1,0,0,0,0,1,5,1,3,1,3.1000000000000227,1,3,1,3,1,4,1,4,1,1,1,4,1,5,1,3,1,3,MAP
-1.1,0,0,0,0,0,0,2,0,0,0,0,0,1,6,1,5,1,3,1,3,1,4,1,4,1,4,1,2,1,3.324999999999932,1,5,1,3,1,4,MAP
-0.9,1,0,0,0,2,0,1,1,0,0,0,0,1,5,1,4,1,4,1,3,1,4,1,4,1,4,1,1.2000000000000028,1,6,1,6,1,3,1,4,MAP
-0.7,2,1,1,2,3,1,5,3,0,0,1,0,1,6.225000000000023,1,4,1,3,1,2,1,4,1,4,1,4,1,1,1,5,1,7,1,3,1,4,MAP
-0.5,19,13,1,3,9,5,4,6,2,4,0,1,1,6,1,6,1,4,1,3,1,5,1,4,1,5,1,3,1,5.274999999999977,1,6,1,3,1,5,MAP
-0.3,9,11,11,4,23,24,28,11,7,13,14,6,1,7,1,5,1,4,1,3,1,5,1,4,1,4,1,1,1,5,1,7,1,3.8500000000000227,1,5,MAP
-0.1,36,40,33,24,37,43,37,13,37,52,63,16,4,14,7,19,4,15,23,49,1,10,2,11,1,7,4,16,3,14,4,16,3,12,3,12,MAP
0.1,23,13,23,26,31,20,24,50,38,33,32,90,46,66,45,65,61,82,34,60.02499999999998,45,66,64,85,33,52,74,94,60,81,47,66.02499999999998,13,29,62,83,MAP
0.3,14,3,28,9,13,17,8,2,32,5,6,3,1,5,1,8,1,3,1,3,1,5,1,4,1,4,1,1,1,5,1,7,1,3,1,5,MAP
0.5,11,5,30,22,6,16,2,1,8,14,3,4,1,5,1,5,1,3,1,3,1,6,1,3,1,4,1,3,1,5,1,7,1,3,1,5,MAP
0.7,11,14,19,24,4,8,0,2,3,14,1,4,1,4,1,4.125,1,2,1,2,1,4,1,4,1,5,1,2,1,5,1,7,1,3,1,4,MAP
0.9,0,3,1,6,0,0,0,1,0,0,0,0,1,4,1,3,1,2,1,3,1,4,1,3.5,1,4,1,1.7749999999999986,1,5,1,6,1,3,1,4,MAP
1.1,0,1,1,11,0,0,0,0,0,0,0,0,1,3,1,5,1,3,1,3,1,5,1,3,1,4,1,2.1999999999999886,1,3,1,4,1,3,1,4,MAP
1.3,0,1,0,4,0,0,0,0,0,0,0,0,1,3,1,4,1,2,1,2,1,3,1,3,1,4,1,1,1,4,1,4,1,2,1,3,MAP
1.5,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,3,1,2,1,2,1,3,1,2.924999999999983,1,3,1,1,1,3,1,3,1,2,1,3,MAP
1.7,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,2,1,4,1,3,1,4,1,2,1,3,1,3,1,2,1,3,MAP
1.9,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,2,1,3,1,3,1,3,1,2,1,2,1,3,1,2,1,2,MAP
-1.9,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,3,1,1.2249999999999979,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,CMD
-1.7,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,2,1,4,1,3,1,3,1,1,1,3,1,2,1,3,1,2.3999999999999773,CMD
-1.5,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,3,1,2,1,2,1,3,1,2,1,2,1,1.25,1,3,1,2.3000000000000114,1,2,1,3,CMD
-1.3,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1,3,1,2,1,4,1,3,1,3,1,1,1,3,1,3,1,3,1,3,CMD
-1.1,0,0,0,4,0,0,0,0,0,1,0,0,1,4,1,5,1,2,1,3,1,4,1,3,1,3,1,2,1,3,1,3,1,3,1,3,CMD
-0.9,1,1,0,7,0,0,0,0,0,0,0,0,1,5,1,3,1,3,1,3,1,4,1,3,1,3,1,1,1,4,1,4,1,3,1,4,CMD
-0.7,1,5,6,4,0,1,0,1,1,1,1,0,1,5,1,4,1,3,1,2,1,4,1,3,1,4,1,1.75,1,4,1,4,1,3,1,3,CMD
-0.5,4,4,10,6,2,5,0,1,12,7,3,0,1,5,1,5,1,3,1,3,1,5,1,3,1,3,1,2,1,4,1,4,1,3,1,5,CMD
-0.3,8,0,20,5,11,13,6,3,16,9,17,5,1,5,1,6,1,3,1,2.0500000000000114,1,5,1,4,1,3,1,1,1,3,1,4,1,3,1,4,CMD
-0.1,23,13,29,16,18,22,34,18,28,21,29,63,2,11,2,11,3,12,16,37,1,9,3,12,1,6,2,12,2,10.125,2,11,3,13,1,9,CMD
0.1,18,30,17,19,29,33,13,37,31,35,33,14,16,31,24,41,40,59,25,45,17,31,49,68,36.975,54,51,68,52,68.02499999999998,45,62,26,43,44.975,62,CMD
0.3,6,9,4,11,21,11,17,8,2,9,6,5,1,5,1,5,1,3,1,2,1,6,1,3,1,4,1,1,1,3,1,4,1,2,1,4,CMD
0.5,20,13,1,9,9,7,8,7,0,6,2,2,1,4,1,5,1,3,1,3,1,6,1,3,1,3.7749999999999773,1,2,1,4,1,4,1,3,1,4,CMD
0.7,19,10,1,5,9,3,3,3,0,4,0,1,1,4,1,4,1,2,1,2,1,5,1,3,1,3,1,1.5749999999999957,1,3,1,4,1,2,1,4,CMD
0.9,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1,4,1,3,1,2,1,5,1,3,1,3,1,1.125,1,4,1,4,1,3,1,4,CMD
1.1,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,4,1,2,1,3,1,5,1,2,1,3,1,2,1,3,1,3,1,2,1,4,CMD
1.3,0,2,0,0,0,0,0,0,0,0,0,1,1,4,1,3,1,3,1,2,1,4,1,3,1,3,1,1,1,3,1,3,1,2,1,3,CMD
1.5,0,1,0,2,0,0,0,0,0,0,0,0,1,3,1,3,1,2,1,2,1,3,1,1.549999999999983,1,3,1,1,1,2,1,3,1,1.7749999999999915,1,3,CMD
1.7,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,3,1,3,1,2,1,4,1,2,1,3,1,1,1,2,1,2,1,2,1,3,CMD
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,2,1,3,1,2,1,2.349999999999966,1,1.2000000000000028,1,2,1,2,1,2,1,2,CMD
