S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,0,1,3,1,2,1,3,MAT
-1.7,0,0,0,1,3,1,2,1,4,MAT
-1.5,0,0,0,1,3,1,4,1,3,MAT
-1.3,0,0,0,1,4,1,5,1,4,MAT
-1.1,0,0,0,1,4.199999999999932,1,5,1,5,MAT
-0.9,0,0,0,1,5,1,5,1,6,MAT
-0.7,1,1,1,1,6,1,6,1,7,MAT
-0.5,0,2,6,1,7,1,6,1,7,MAT
-0.3,6,17,8,1,7,1,7,1,8,MAT
-0.1,77,64,16,4,15,1,9,7,20,MAT
0.1,25,24,12,12,26,3,13,36,55,MAT
0.3,1,4,9,1,9,1,8,1,6,MAT
0.5,3,3,44,1,8,1,9,1,6,MAT
0.7,3,1,49,1,8,1.9000000000000021,10,1,5,MAT
0.9,0,0,2,1,7,1,8,1,4,MAT
1.1,0,0,2,1,7,1,9,1,3,MAT
1.3,0,0,1,1,6,1,8,1,3,MAT
1.5,0,0,0,1,5.6749999999999545,1,6,1,3,MAT
1.7,0,0,1,1,5,1,7,1,2,MAT
1.9,0,0,1,1,5,1,5,1,2,MAT
-1.9,0,0,0,1,3,1,4,1,2.75,MAP
-1.7,0,0,0,1,4,1,4,1,3,MAP
-1.5,0,0,0,1,5,1,5,1,4,MAP
-1.3,0,0,0,1,6,1,6,1,5,MAP
-1.1,0,0,1,1,7,1,6,1,5,MAP
-0.9,0,0,2,1,8,1,7,1,7,MAP
-0.7,0,0,1,1,9,1,7,1,7,MAP
-0.5,1,0,4,2,10,1,7,1,8.324999999999932,MAP
-0.3,3,11,33,2,10,1,8,1,9,MAP
-0.1,56,71,24,4,14,1,10,8,22,MAP
0.1,59,36,26,7,20,5,16,37.975,57.02499999999998,MAP
0.3,5,6,7,3,13,1,9,1,7,MAP
0.5,2,2,17,3,13.024999999999977,1,7,1,6.125,MAP
0.7,2,0,14,2,12,1,9,1,5,MAP
0.9,0,0,0,2,11,1,9,1,4,MAP
1.1,0,0,0,1,9,1,8,1,3,MAP
1.3,0,0,1,1,9,1,7,1,3,MAP
1.5,0,0,0,1,7,1,5,1,2,MAP
1.7,0,0,0,1,6,1,6,1,2,MAP
1.9,0,0,0,1,5,1,5,1,2,MAP
-1.9,0,0,1,1,3,1,3,1,3,CMD
-1.7,0,0,0,1,3,1,4,1,4,CMD
-1.5,0,0,0,1,4,1,4,1,4.25,CMD
-1.3,0,0,1,1,5,1,5,1,5,CMD
-1.1,0,0,0,1,6,1,4,1,5,CMD
-0.9,0,0,0,1,6,1,5,1,7,CMD
-0.7,0,0,2,1,7,1,5,1,8.324999999999932,CMD
-0.5,3,0,7,1,7,1,5,2,10,CMD
-0.3,5,4,3,1,8,1,6,1,10,CMD
-0.1,55,27,19,2,13,1,8,3,13,CMD
0.1,27,54,24,12,24,7,20,7,20,CMD
0.3,2,6,21,1,9,1,6,1,7,CMD
0.5,0,2,13,1,9,1,5,1,6,CMD
0.7,0,2,6,1,9,1,6,1,5,CMD
0.9,0,0,2,1,7,1,6,1,4,CMD
1.1,0,0,0,1,6,1,5,1,3,CMD
1.3,0,0,0,1,6,1,5,1,3,CMD
1.5,0,0,0,1,5,1,5,1,2,CMD
1.7,0,0,0,1,4,1,4,1,2,CMD
1.9,0,0,0,1,4,1,4,1,2,CMD
