S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,0,1,4,1,4,1,4,MAT
-1.7,0,0,1,1,5,1,5,1,5,MAT
-1.5,0,0,0,1,6,1,5,1,6,MAT
-1.3,0,1,1,1,7,1,5,1,9,MAT
-1.1,0,1,0,1,8,1,6,2,10,MAT
-0.9,1,2,3,1,10,1,7,3,14,MAT
-0.7,4,3,4,2,11,1,7.774999999999977,4,17,MAT
-0.5,3,5,5,2,12,1,8,6,19,MAT
-0.3,15,27,27,3,12,1,8,7,21,MAT
-0.1,117,109,80,16,35,5,18,19,38,MAT
0.1,95,84,87,49,74,28,48,60,85,MAT
0.3,12,23,24,4,15,1,10,5,17,MAT
0.5,10,5,13,3,14,2,11,3,14,MAT
0.7,9,3,11,3,14,2,11,2,10,MAT
0.9,1,3,0,2,12,2,11,1,9,MAT
1.1,0,1,1,2,12,2,12,1,6,MAT
1.3,0,0,0,1,10,2,10,1,5,MAT
1.5,1,0,0,1,9,2,10,1,4,MAT
1.7,0,0,0,1,8,1,10,1,3,MAT
1.9,0,0,0,1,6.9249999999999545,1,7,1,2,MAT
-1.9,0,0,1,1,8,1,10,1,6,MAP
-1.7,0,0,0,2,11,2,12,1,9,MAP
-1.5,0,0,1,2,14,3,14,2,10,MAP
-1.3,2,0,1,5,16,4,16,4,16,MAP
-1.1,0,0,4,7,21,4.975000000000001,17,5,17,MAP
-0.9,0,4,6,9,24.024999999999977,6,19,9,24.024999999999977,MAP
-0.7,2,1,16,11.975000000000001,28,7,20,13,31,MAP
-0.5,3,2,20,14,32,6.975000000000001,19.024999999999977,16,36,MAP
-0.3,11,45,65,15,34,6,20,19,39,MAP
-0.1,204,254,138,31,54,14,32,49,77,MAP
0.1,300,214,167,60,90,48,72,151,191,MAP
0.3,33,29,52,20.975,42,8,23,13,31,MAP
0.5,7,9,35,21,42,7,21,11,27,MAP
0.7,8,5,27,18,38,7,21,6,19,MAP
0.9,0,0,0,15,34,7,20,4,15,MAP
1.1,1,0,0,12,28,5,18,1.9000000000000021,10,MAP
1.3,0,0,0,10,25.024999999999977,5,17,1,9,MAP
1.5,0,0,0,7,22,3,14,1,7,MAP
1.7,0,0,1,5,18,3,13,1,5,MAP
1.9,0,0,0,4,15,1,10,1,4,MAP
-1.9,0,0,0,1,5,1,5,1,4,CMD
-1.7,0,0,1,1,6,1,6,1,5,CMD
-1.5,0,0,0,1,7.699999999999932,1,6,1,6,CMD
-1.3,0,0,1,1,10,1,7,1,10,CMD
-1.1,1,0,1,2,11,1,8,2,11,CMD
-0.9,2,3,0,2,12,1,9,3,14,CMD
-0.7,6,3,2,3,14,1,9,4,16,CMD
-0.5,5,4,9,4,15,1,10,8,21,CMD
-0.3,23,21,23,4,17,2,11,7,21,CMD
-0.1,122,93,93,16,34.02499999999998,6,19,18,38,CMD
0.1,112,129,79,53,78,33,53,50,75,CMD
0.3,15,30,30,6,19,2,12,5,18,CMD
0.5,5,14,26,6,19,2,12,3,15,CMD
0.7,6,7,20,5,18,2,12,2,11,CMD
0.9,0,4,4,4,16,3,13,1,10,CMD
1.1,0,0,2,3,14,2,12,1,6,CMD
1.3,1,1,1,2,12,2,11,1,6,CMD
1.5,0,0,0,2,11,2,10.049999999999955,1,4,CMD
1.7,0,0,0,1,9,1,10,1,3,CMD
1.9,0,0,0,1,7,1,8,1,2,CMD
