S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1.6000000000000014,1,2,1,2,1,1,1,2,MAP
-1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,1,2.125,1,2,1,2,1,1,1,2,1,2,1,2,1,2,MAP
-1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,MAP
-1.3,0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,2,1,2,MAP
-1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,2,1,2,1,3,1,3,1,2,1,2,1,2,1,3,1,2,1,2,MAP
-0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,1,2,1,3,1,2,1,2,1,1,1,3,1,3,1,2,1,2,MAP
-0.7,0,0,0,0,0,0,3,1,0,0,0,0,1,3,1,3,1,2,1,1,1,2,1,2,1,3,1,1,1,3,1,4,1,2,1,2,MAP
-0.5,3,3,0,0,1,2,1,0,0,4,1,1,1,3,1,3,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,4,1,2,1,3,MAP
-0.3,1,4,5,3,4,3,3,3,3,1,1,1,1,4,1,3,1,2,1,2,1,3,1,3,1,3,1,1,1,3,1,3,1,2,1,2.1750000000000114,MAP
-0.1,10,14,13,10,14,13,10,1,19,8,17,10,1,5.574999999999932,1,7,1,6,4,15,1,4,1,5,1,4,1,6,1,6,1,6,1,5,1,5,MAP
0.1,8,5,9,15,13,10,13,22,9,17,11,18,8,18,7.975000000000001,18.024999999999977,13,25,7,17,7,17,16,27,9,20,16,27,14,25,11,22,4,13,16,27,MAP
0.3,6,2,4,1,0,3,1,0,2,1,1,1,1,3,1,4,1,2,1,2,1,3,1,3,1,2.1750000000000114,1,1,1,3,1,3,1,2.2750000000000057,1,3,MAP
0.5,6,2,3,2,1,3,0,0,2,4,3,2,1,3,1,3,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,3,1,2,1,3,MAP
0.7,4,2,3,2,1,2,0,1,1,4,2,2,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,3,1,2,1,2,MAP
0.9,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,3,1,2,1,2,MAP
1.1,0,0,1,3,0,0,0,0,0,0,0,0,1,3,1,3,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2.8249999999999886,1,2,1,2,MAP
1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,1,2.3249999999999886,1,2,1,2,1,1,1,2,1,2.099999999999966,1,2,1,2,MAP
1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,1,2,1,1.8499999999999943,1,2,1,1,1,2,1,2,1,1.3999999999999986,1,2,MAP
1.7,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,MAP
1.9,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,MAP
