S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,1,1,8,1,10,1,6,MAP
-1.7,0,0,0,2,11,2,12,1,9,MAP
-1.5,0,0,1,2,14,3,14,2,10,MAP
-1.3,2,0,1,5,16,4,16,4,16,MAP
-1.1,0,0,4,7,21,4.975000000000001,17,5,17,MAP
-0.9,0,4,6,9,24.024999999999977,6,19,9,24.024999999999977,MAP
-0.7,2,1,16,11.975000000000001,28,7,20,13,31,MAP
-0.5,3,2,20,14,32,6.975000000000001,19.024999999999977,16,36,MAP
-0.3,11,45,65,15,34,6,20,19,39,MAP
-0.1,204,254,138,31,54,14,32,49,77,MAP
0.1,300,214,167,60,90,48,72,151,191,MAP
0.3,33,29,52,20.975,42,8,23,13,31,MAP
0.5,7,9,35,21,42,7,21,11,27,MAP
0.7,8,5,27,18,38,7,21,6,19,MAP
0.9,0,0,0,15,34,7,20,4,15,MAP
1.1,1,0,0,12,28,5,18,1.9000000000000021,10,MAP
1.3,0,0,0,10,25.024999999999977,5,17,1,9,MAP
1.5,0,0,0,7,22,3,14,1,7,MAP
1.7,0,0,1,5,18,3,13,1,5,MAP
1.9,0,0,0,4,15,1,10,1,4,MAP
