S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,0,1,2,1,2,1,1.7749999999999915,MAT
-1.7,0,0,0,1,2,1,2,1,2,MAT
-1.5,0,0,0,1,2,1,2,1,2,MAT
-1.3,0,0,0,1,2,1,2,1,3,MAT
-1.1,0,0,0,1,3,1,2,1,3,MAT
-0.9,0,1,1,1,3,1,3,1,3,MAT
-0.7,2,0,1,1,3,1,3,1,4,MAT
-0.5,0,0,1,1,3,1,3,1,4,MAT
-0.3,1,4,2,1,3,1,3,1,4,MAT
-0.1,14,14,10,1,6,1,4,1,8,MAT
0.1,14,11,9,3,12,2,8,6,16,MAT
0.3,0,1,2,1,4,1,3,1,4,MAT
0.5,2,0,8,1,3,1,3,1,4,MAT
0.7,2,1,6,1,3,1,3,1,3,MAT
0.9,0,0,0,1,3,1,3,1,3,MAT
1.1,0,0,0,1,3,1,3,1,2,MAT
1.3,0,0,0,1,3,1,3,1,2,MAT
1.5,0,0,0,1,3,1,3,1,2,MAT
1.7,0,0,0,1,2.5500000000000114,1,3,1,1.9749999999999943,MAT
1.9,0,0,0,1,2,1,3,1,1,MAT
