S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,0,1,4,1,4,1,4,MAT
-1.7,0,0,1,1,5,1,5,1,5,MAT
-1.5,0,0,0,1,6,1,5,1,6,MAT
-1.3,0,1,1,1,7,1,5,1,9,MAT
-1.1,0,1,0,1,8,1,6,2,10,MAT
-0.9,1,2,3,1,10,1,7,3,14,MAT
-0.7,4,3,4,2,11,1,7.774999999999977,4,17,MAT
-0.5,3,5,5,2,12,1,8,6,19,MAT
-0.3,15,27,27,3,12,1,8,7,21,MAT
-0.1,117,109,80,16,35,5,18,19,38,MAT
0.1,95,84,87,49,74,28,48,60,85,MAT
0.3,12,23,24,4,15,1,10,5,17,MAT
0.5,10,5,13,3,14,2,11,3,14,MAT
0.7,9,3,11,3,14,2,11,2,10,MAT
0.9,1,3,0,2,12,2,11,1,9,MAT
1.1,0,1,1,2,12,2,12,1,6,MAT
1.3,0,0,0,1,10,2,10,1,5,MAT
1.5,1,0,0,1,9,2,10,1,4,MAT
1.7,0,0,0,1,8,1,10,1,3,MAT
1.9,0,0,0,1,6.9249999999999545,1,7,1,2,MAT
