chr_snp,Chromosome,SNP,Env,BF
CE10_chr1_589881,CE10_chr1,589881,5,20.41814425
CE10_chr1_1722642,CE10_chr1,1722642,5,43.55289945
CE10_chr1_2450166,CE10_chr1,2450166,5,24.15105273
CE10_chr1_2508598,CE10_chr1,2508598,5,33.87461298
CE10_chr1_3900247,CE10_chr1,3900247,5,20.16404692
CE10_chr1_4381849,CE10_chr1,4381849,5,25.99586554
CE10_chr1_4577886,CE10_chr1,4577886,5,23.30395265
CE10_chr1_4610970,CE10_chr1,4610970,5,28.52310312
CE10_chr1_4675850,CE10_chr1,4675850,5,33.10299668
CE10_chr1_4678896,CE10_chr1,4678896,5,20.63141355
CE10_chr1_6222009,CE10_chr1,6222009,5,22.16916691
CE10_chr1_6600296,CE10_chr1,6600296,5,24.64175564
CE10_chr1_6631505,CE10_chr1,6631505,5,25.12290052
CE10_chr1_8058944,CE10_chr1,8058944,5,21.93852448
CE10_chr1_9293767,CE10_chr1,9293767,5,25.52288371
CE10_chr1_9806779,CE10_chr1,9806779,5,20.03664693
CE10_chr1_10420560,CE10_chr1,10420560,5,23.75499377
CE10_chr1_13581631,CE10_chr1,13581631,5,36.32269232
CE10_chr1_17718772,CE10_chr1,17718772,5,30.45782102
CE10_chr1_18070317,CE10_chr1,18070317,5,21.48940276
CE10_chr1_21249099,CE10_chr1,21249099,5,22.02966157
CE10_chr1_31584261,CE10_chr1,31584261,5,28.47327054
CE10_chr1_33022351,CE10_chr1,33022351,5,22.33022034
CE10_chr1_33305321,CE10_chr1,33305321,5,20.43450631
CE10_chr1_35198871,CE10_chr1,35198871,5,22.81914659
CE10_chr1_35220219,CE10_chr1,35220219,5,26.21937137
CE10_chr1_36915527,CE10_chr1,36915527,5,24.62958214
CE10_chr1_37374277,CE10_chr1,37374277,5,23.91358774
CE10_chr1_38636557,CE10_chr1,38636557,5,22.61515239
CE10_chr1_38807365,CE10_chr1,38807365,5,21.83213738
CE10_chr1_38824853,CE10_chr1,38824853,5,38.38148133
CE10_chr1_39807417,CE10_chr1,39807417,5,21.99626976
CE10_chr1_40056447,CE10_chr1,40056447,5,21.77779881
CE10_chr1_40081457,CE10_chr1,40081457,5,20.40951743
CE10_chr1_40315346,CE10_chr1,40315346,5,33.53517419
CE10_chr1_40324751,CE10_chr1,40324751,5,28.04395612
CE10_chr1_41391988,CE10_chr1,41391988,5,20.97300579
CE10_chr1_42982789,CE10_chr1,42982789,5,21.67028729
CE10_chr1_43673643,CE10_chr1,43673643,5,24.85137744
CE10_chr1_43958008,CE10_chr1,43958008,5,21.49745407
CE10_chr1_44239980,CE10_chr1,44239980,5,21.7426759
CE10_chr2_545931,CE10_chr2,545931,5,22.02857765
CE10_chr2_2013769,CE10_chr2,2013769,5,28.15339473
CE10_chr2_2635719,CE10_chr2,2635719,5,27.3875799
CE10_chr2_3077330,CE10_chr2,3077330,5,22.98113304
CE10_chr2_5277590,CE10_chr2,5277590,5,20.71228196
CE10_chr2_6097333,CE10_chr2,6097333,5,22.57096035
CE10_chr2_6569469,CE10_chr2,6569469,5,29.92775301
CE10_chr2_7535114,CE10_chr2,7535114,5,22.32482862
CE10_chr2_8656640,CE10_chr2,8656640,5,21.87210628
CE10_chr2_9706280,CE10_chr2,9706280,5,20.31647281
CE10_chr2_9920850,CE10_chr2,9920850,5,27.47390319
CE10_chr2_9954080,CE10_chr2,9954080,5,22.67825822
CE10_chr2_10028942,CE10_chr2,10028942,5,20.64712683
CE10_chr2_10113152,CE10_chr2,10113152,5,31.90557895
CE10_chr2_10801538,CE10_chr2,10801538,5,21.06344559
CE10_chr2_12868398,CE10_chr2,12868398,5,24.27007905
CE10_chr2_13345679,CE10_chr2,13345679,5,20.97361565
CE10_chr2_14465661,CE10_chr2,14465661,5,21.75714029
CE10_chr2_14568879,CE10_chr2,14568879,5,27.7825755
CE10_chr2_14591113,CE10_chr2,14591113,5,26.79134966
CE10_chr2_20685615,CE10_chr2,20685615,5,24.16914194
CE10_chr2_23407656,CE10_chr2,23407656,5,24.09775363
CE10_chr2_28623138,CE10_chr2,28623138,5,22.22612387
CE10_chr2_37341781,CE10_chr2,37341781,5,23.08227824
CE10_chr2_37365683,CE10_chr2,37365683,5,20.50040223
CE10_chr2_38519351,CE10_chr2,38519351,5,23.40946011
CE10_chr2_39783336,CE10_chr2,39783336,5,31.21990516
CE10_chr2_39921676,CE10_chr2,39921676,5,27.08141705
CE10_chr2_40526312,CE10_chr2,40526312,5,21.82559257
CE10_chr2_40551025,CE10_chr2,40551025,5,21.62434999
CE10_chr2_40968338,CE10_chr2,40968338,5,26.41052998
CE10_chr2_41306662,CE10_chr2,41306662,5,38.52797847
CE10_chr2_42400519,CE10_chr2,42400519,5,20.86552874
CE10_chr2_43260266,CE10_chr2,43260266,5,21.20804273
CE10_chr2_43752441,CE10_chr2,43752441,5,33.07706192
CE10_chr2_44439211,CE10_chr2,44439211,5,21.39909324
CE10_chr2_44839490,CE10_chr2,44839490,5,22.6185657
CE10_chr2_45213921,CE10_chr2,45213921,5,21.85724413
CE10_chr2_45420569,CE10_chr2,45420569,5,20.86640473
CE10_chr2_45564009,CE10_chr2,45564009,5,26.91659104
CE10_chr2_46042403,CE10_chr2,46042403,5,24.4226053
CE10_chr2_47394689,CE10_chr2,47394689,5,21.7612944
CE10_chr2_48676701,CE10_chr2,48676701,5,26.46734695
CE10_chr2_49950248,CE10_chr2,49950248,5,20.02694807
CE10_chr2_50391681,CE10_chr2,50391681,5,24.22790481
CE10_chr2_50422336,CE10_chr2,50422336,5,25.26655457
CE10_chr2_51062390,CE10_chr2,51062390,5,24.7109474
